# pos.x pos.y pos.z n.x n.y n.z area cellWidthNormalToSurface outsign p rho T velx vely velz mu a Re y+ tau_wall_x tau_wall_y tau_wall_z q_total q_cond q_diff
1.0256481453082883e-02 1.0779996396428708e-03 0.0000000000000000e+00 -1.0452846326765404e-01 9.9452189536827340e-01 0.0000000000000000e+00 3.7192691937376797e-07 2.6904898652087625e-08 -1.0000000000000000e+00 2.2241531367140055e+03 2.5822918744555241e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4735661491868592e+02 1.3066752508870551e-02 2.0990275724721450e-03 -3.2063720905771197e+02 -2.4879694124091401e+01 0.0000000000000000e+00 2.5575478225007557e+05 2.5575478225007557e+05 0.0000000000000000e+00
1.0599834996248508e-02 1.1140875512230543e-03 0.0000000000000000e+00 -1.0452846326765330e-01 9.9452189536827340e-01 0.0000000000000000e+00 3.8488811606629578e-07 2.6968193634688252e-08 -1.0000000000000000e+00 2.2217463855613360e+03 2.5794975821728634e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4735518132229663e+02 1.3083265866538789e-02 2.0869661662340669e-03 -3.1581991327008058e+02 -2.4488434292305683e+01 0.0000000000000000e+00 2.5195855356083324e+05 2.5195855356083324e+05 0.0000000000000000e+00
1.0943644372573856e-02 1.1502233727988991e-03 0.0000000000000000e+00 -1.0452846326765293e-01 9.9452189536827351e-01 0.0000000000000000e+00 3.9789964520527189e-07 2.7031542265475336e-08 -1.0000000000000000e+00 2.2197496435460052e+03 2.5771793197311009e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4735384579094250e+02 1.3102162352677060e-02 2.0758984350613911e-03 -3.1129728870671607e+02 -2.4120184785365225e+01 0.0000000000000000e+00 2.4839744830366463e+05 2.4839744830366463e+05 0.0000000000000000e+00
1.1287910187219048e-02 1.1864071679752969e-03 0.0000000000000000e+00 -1.0452846326765368e-01 9.9452189536827340e-01 0.0000000000000000e+00 4.1096166162377482e-07 2.7094944577693855e-08 -1.0000000000000000e+00 2.2180947314603068e+03 2.5752579295348525e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4735259973500320e+02 1.3123055218774051e-02 2.0657704508702693e-03 -3.0705645880623536e+02 -2.3773595578632946e+01 0.0000000000000000e+00 2.4505090822506676e+05 2.4505090822506676e+05 0.0000000000000000e+00
1.1632633046147627e-02 1.2226390004415832e-03 0.0000000000000000e+00 -1.0452846326765346e-01 9.9452189536827329e-01 0.0000000000000000e+00 4.2407432059406456e-07 2.7158400604273287e-08 -1.0000000000000000e+00 2.2162348814985671e+03 2.5730986018497982e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4735142522463377e+02 1.3142715493598902e-02 2.0562500123634721e-03 -3.0306813319690474e+02 -2.3447887336810503e+01 0.0000000000000000e+00 2.4187769584212071e+05 2.4187769584212071e+05 0.0000000000000000e+00
1.1977813556127582e-02 1.2589189339716424e-03 0.0000000000000000e+00 -1.0452846326765387e-01 9.9452189536827318e-01 0.0000000000000000e+00 4.3723777782911571e-07 2.7221910378052395e-08 -1.0000000000000000e+00 2.2140180870313811e+03 2.5705248535563649e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4735030707791009e+02 1.3160230523462175e-02 2.0470635078936308e-03 -2.9926687491146504e+02 -2.3137876065748454e+01 0.0000000000000000e+00 2.3884324968323880e+05 2.3884324968323880e+05 0.0000000000000000e+00
1.2323452324732413e-02 1.2952470324240233e-03 0.0000000000000000e+00 -1.0452846326765340e-01 9.9452189536827329e-01 0.0000000000000000e+00 4.5045218948360040e-07 2.7285473931122511e-08 -1.0000000000000000e+00 2.2118357346208554e+03 2.5679910932662687e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4734925076684431e+02 1.3177917478487672e-02 2.0383289075826734e-03 -2.9563024282662195e+02 -2.2840527853522303e+01 0.0000000000000000e+00 2.3595862739113515e+05 2.3595862739113515e+05 0.0000000000000000e+00
1.2669549960342270e-02 1.3316233597420561e-03 0.0000000000000000e+00 -1.0452846326765335e-01 9.9452189536827329e-01 0.0000000000000000e+00 4.6371771215548749e-07 2.7349091297695399e-08 -1.0000000000000000e+00 2.2099200584185728e+03 2.5657669500588676e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4734826314086916e+02 1.3197164852680380e-02 2.0302290263254684e-03 -2.9217684402646836e+02 -2.2557171612647437e+01 0.0000000000000000e+00 2.3323775590581686e+05 2.3323775590581686e+05 0.0000000000000000e+00
1.3016107072145001e-02 1.3680479799539633e-03 0.0000000000000000e+00 -1.0452846326765305e-01 9.9452189536827340e-01 0.0000000000000000e+00 4.7703450288665106e-07 2.7412762510743608e-08 -1.0000000000000000e+00 2.2082230151100266e+03 2.5637966445641962e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4734733838083986e+02 1.3217695912910062e-02 2.0227541690168590e-03 -2.8890673961920277e+02 -2.2288161044716261e+01 0.0000000000000000e+00 2.3066682507439761e+05 2.3066682507439761e+05 0.0000000000000000e+00
1.3363124270137165e-02 1.4045209571729679e-03 0.0000000000000000e+00 -1.0452846326765394e-01 9.9452189536827329e-01 0.0000000000000000e+00 4.9040271916461610e-07 2.7476487603247687e-08 -1.0000000000000000e+00 2.2067330108650194e+03 2.5620667160843297e-02 3.0000000000000000e+02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.8469051721849357e-05 3.4734647143861241e+02 1.3239449984549090e-02 2.0158574014800972e-03 -2.8580467213907980e+02 -2.2032297564373767e+01 0.0000000000000000e+00 2.2823377977110760e+05 2.2823377977110760e+05 0.0000000000000000e+00
