Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Y+
1.43206467,0.044583555
1.43186616,0.044582477
1.431667606,0.04458124
1.431469095,0.044579911
1.431270627,0.044578418
1.431072116,0.044576793
1.430873605,0.044575044
1.430673689,0.044573134
1.430475178,0.044571057
1.430278072,0.044568886
1.430079561,0.044566534
1.429881051,0.044564039
1.429680877,0.044561432
1.429482366,0.044558608
1.429285518,0.044555767
1.429087007,0.044552737
1.428888496,0.044549585
1.428689985,0.044546317
1.428491474,0.044542942
1.428292963,0.04453946
1.428094452,0.044535885
1.427895942,0.044532229
1.427697431,0.044528489
1.42749892,0.044524673
1.427300409,0.044520783
1.427101898,0.044516841
1.426903387,0.044512842
1.426704876,0.044508787
1.426506365,0.044504695
1.426307854,0.044500562
1.426109343,0.04449641
1.425910833,0.044492226
1.425712322,0.044488025
1.425513811,0.044483807
1.4253153,0.044479588
1.425116789,0.044475357
1.424918278,0.044471137
1.424719767,0.044466921
1.424521256,0.04446274
1.424322745,0.044458601
1.424124234,0.044454499
1.423925723,0.044450446
1.423727213,0.044446491
1.423528702,0.044442567
1.423330191,0.04443879
1.423134133,0.044434907
1.422935623,0.0444315
1.422734658,0.044427782
1.422536147,0.044424346
1.422337636,0.044421049
1.422140216,0.044417753
1.421941705,0.044414792
1.421742104,0.044411797
1.421543593,0.044409008
1.421345082,0.044406402
1.421146298,0.044403941
1.420947787,0.044401639
1.420749549,0.044399531
1.420551038,0.04439759
1.420352527,0.044395797
1.420152381,0.044394298
1.41995387,0.044392804
1.419756995,0.044391653
1.419558484,0.044390618
1.419359973,0.044389726
1.41915966,0.044389138
1.418961149,0.044388539
1.41876444,0.044388284
1.418565929,0.044388096
1.418367418,0.044388106
1.418168907,0.044388275
1.417970396,0.044388593
1.417771886,0.044389074
1.417573375,0.044389697
1.417374864,0.044390453
1.417176353,0.04439136
1.416977842,0.044392422
1.416779331,0.04439364
1.41658082,0.044395057
1.416382309,0.04439665
1.416183798,0.044398391
1.415985287,0.044400268
1.415786777,0.044402219
1.415588266,0.044404256
1.415389755,0.044406339
1.415191244,0.044408528
1.414992733,0.044410846
1.414794222,0.044413261
1.414595711,0.044415784
1.552560788,0.044326568
1.552362277,0.04432474
1.552163766,0.044322916
1.551965255,0.044321107
1.551766744,0.044319331
1.551568234,0.044317576
1.549583125,0.04430208
1.549384614,0.044300761
1.551369723,0.044315843
1.549781635,0.044303424
1.549186103,0.044299517
1.551171212,0.044314149
1.539260558,0.044273094
1.539062047,0.044272686
1.549980146,0.044304814
1.548987592,0.044298327
1.550972701,0.044312502
1.538863536,0.044272271
1.539459069,0.044273457
1.547203484,0.044289685
1.547401994,0.044290385
1.550178657,0.04430627
1.548789081,0.04429717
1.55077419,0.044310877
1.536682176,0.044265742
1.536880686,0.044266386
1.539657579,0.04427381
1.538665025,0.044271802
1.543427507,0.044279609
1.543627797,0.044279949
1.547002483,0.044288885
1.547598016,0.044291289
1.550377168,0.044307759
