x (mm),Q (W/m2)
2090.5,427293
2091,427287
2091.4,427280
2091.8,427273
2092.3,427266
2092.7,427259
2093.1,427251
2093.6,427243
2094,427235
2094.4,427226
2094.9,427217
2095.3,427208
2095.7,427199
2096.2,427190
2096.6,427180
2097,427171
2097.5,427161
2097.9,427151
2098.3,427142
2098.8,427132
2099.2,427123
2099.6,427113
2100.1,427104
2100.5,427096
2100.9,427087
2101.4,427079
2101.8,427071
2102.2,427063
2102.7,427056
2103.1,427049
2103.5,427042
2104,427036
2104.4,427030
2104.8,427024
2105.3,427018
2105.7,427013
2106.1,427007
2106.6,427003
2107,426998
2107.4,426994
2107.9,426990
2108.3,426986
2108.7,426982
2109.2,426978
2109.6,426974
2110,426970
2110.5,426966
2110.9,426962
2111.3,426957
2111.8,426952
2112.2,426946
2112.6,426940
2113.1,426934
2113.5,426927
2113.9,426919
2114.4,426912
2114.8,426904
2115.2,426896
2115.7,426889
2116.1,426881
2116.6,426874
2117,426867
2117.4,426861
2117.9,426854
2118.3,426847
2118.7,426841
2119.2,426834
2119.6,426826
2120,426818
2120.5,426809
2120.9,426800
2121.3,426790
2121.8,426779
2122.2,426768
2122.6,426757
2123.1,426745
2123.5,426732
2123.9,426719
2124.4,426706
2124.8,426692
2125.2,426678
2125.7,426663
2126.1,426647
2126.5,426631
2127,426615
2127.4,426599
2127.8,426584
2128.3,426570
2128.7,426557
2129.1,426545
2129.6,426534
2130,426525
2130.4,426517
2130.9,426510
2131.3,426504
2131.7,426498
2132.2,426493
2132.6,426488
2133,426482
2133.5,426476
2133.9,426471
2134.3,426464
2134.8,426458
2135.2,426451
2135.6,426444
2136.1,426437
2136.5,426429
2136.9,426422
2137.4,426414
2137.8,426407
2138.2,426399
2138.7,426391
2139.1,426384
2139.5,426376
2140,426369
2140.4,426363
2140.8,426357
2141.3,426351
2141.7,426346
2142.1,426342
2142.6,426338
2143,426333
2143.4,426329
2143.9,426324
2144.3,426318
2144.8,426311
2145.2,426303
2145.6,426294
2146.1,426283
2146.5,426271
2146.9,426257
2147.4,426243
2147.8,426228
2148.2,426212
2148.7,426196
2149.1,426180
2149.5,426164
2150,426149
2150.4,426134
2150.8,426120
2151.3,426108
2151.7,426096
2152.1,426085
2152.6,426076
2153,426067
2153.4,426058
2153.4,426058
2153.9,426051
2154.3,426044
2154.7,426037
2155.2,426030
2155.6,426024
2156,426017
2156.5,426011
2156.9,426004
2157.3,425997
2157.8,425990
2158.2,425982
2158.6,425974
2159.1,425966
2159.5,425958
2159.9,425950
2160.4,425942
2160.8,425934
2161.2,425926
2161.7,425918
2162.1,425910
2162.5,425903
2163,425896
2163.4,425890
2163.8,425884
2164.3,425878
2164.7,425872
2165.1,425867
2165.6,425862
2166,425857
2166.4,425853
2166.9,425848
2167.3,425844
2167.7,425839
2168.2,425834
2168.6,425829
2169,425824
2169.5,425818
2169.9,425812
