x(mm),Q (W/m2)
904.94,289307
905.59,289275
906.24,289243
906.89,289210
907.53,289178
908.18,289146
908.83,289114
909.48,289083
910.12,289051
910.77,289019
911.42,288987
912.06,288956
912.71,288924
913.35,288893
914,288861
914.64,288829
915.29,288798
915.93,288766
916.57,288735
917.22,288703
917.86,288672
918.51,288640
919.15,288609
919.79,288577
920.43,288546
921.08,288515
921.72,288484
922.36,288453
923,288422
923.64,288391
924.28,288360
924.92,288329
925.56,288298
926.2,288267
926.84,288237
927.48,288206
928.12,288175
928.76,288144
929.4,288114
930.04,288083
930.68,288052
931.32,288021
931.95,287991
932.59,287960
933.23,287929
933.87,287899
934.5,287868
935.14,287838
935.78,287808
936.41,287777
937.05,287747
937.68,287717
938.32,287687
938.95,287657
939.59,287627
940.22,287597
940.86,287567
941.49,287537
942.13,287507
942.76,287477
943.39,287447
944.03,287417
944.66,287387
945.29,287357
945.92,287327
946.55,287297
947.19,287268
947.82,287238
948.45,287208
949.08,287179
949.71,287149
950.34,287120
950.97,287090
951.6,287061
952.23,287032
952.86,287002
953.49,286973
954.12,286944
954.75,286915
955.38,286886
956,286857
956.63,286827
957.26,286798
957.89,286769
958.51,286740
959.14,286711
959.77,286682
960.39,286653
961.02,286624
961.65,286595
962.27,286566
962.9,286537
963.52,286508
964.15,286480
964.77,286451
965.4,286422
966.02,286394
966.64,286365
967.27,286337
967.89,286308
968.52,286280
969.14,286251
969.76,286223
970.38,286195
971.01,286166
971.63,286138
972.25,286109
972.87,286081
973.49,286053
974.11,286024
974.73,285996
975.35,285968
975.97,285940
976.59,285911
977.21,285883
977.83,285855
978.45,285827
979.07,285800
979.69,285772
980.31,285744
980.93,285716
981.54,285689
982.16,285661
982.78,285633
983.4,285606
984.01,285578
984.63,285550
985.25,285523
985.86,285495
986.48,285468
987.09,285440
987.71,285412
988.33,285385
988.94,285357
989.56,285330
990.17,285302
990.78,285275
991.4,285247
992.01,285220
992.63,285193
993.24,285166
993.85,285138
994.46,285111
995.08,285084
995.69,285057
996.3,285031
996.91,285004
997.52,284977
998.14,284950
998.75,284923
999.36,284896
999.97,284869
1000.58,284843
1001.19,284816
1001.8,284789
1002.41,284762
1003.02,284735
1003.63,284708
1004.24,284682
1004.84,284655
1005.45,284628
1006.06,284601
1006.67,284575
1007.28,284548
1007.88,284522
1008.49,284495
1009.1,284469
1009.7,284443
1010.31,284416
1010.92,284390
1011.52,284364
1012.13,284338
1012.73,284312
1013.34,284286
1013.94,284259
1014.55,284233
1015.15,284207
1015.76,284181
1016.36,284155
1016.96,284129
1017.57,284103
1018.17,284077
1018.77,284051
1019.38,284025
1019.98,283999
1020.58,283973
1021.18,283947
1021.79,283921
1022.39,283895
1022.99,283869
1023.59,283844
1024.19,283818
1024.79,283792
1025.39,283767
1025.99,283741
1026.59,283716
1027.19,283690
1027.79,283665
1028.39,283640
1028.99,283614
1029.59,283589
1030.19,283564
1030.78,283538
1031.38,283513
1031.98,283488
1032.58,283462
1033.17,283437
1033.77,283412
1034.37,283387
1034.96,283361
1035.56,283336
