x(mm),Q (W/m2)
1023.59,281149
1024.19,281123
1024.79,281098
1025.39,281073
1025.99,281048
1026.59,281023
1027.19,280998
1027.79,280972
1028.39,280947
1028.99,280922
1029.59,280897
1030.19,280872
1030.78,280847
1031.38,280822
1031.98,280797
1032.58,280772
1033.17,280746
1033.77,280721
1034.37,280696
1034.96,280672
1035.56,280647
1036.16,280622
1036.75,280597
1037.35,280572
1037.94,280547
1038.54,280523
1039.13,280498
1039.73,280474
1040.32,280449
1040.92,280425
1041.51,280400
1042.1,280376
1042.7,280351
1043.29,280327
1043.88,280302
1044.48,280278
1045.07,280253
1045.66,280229
1046.25,280205
1046.84,280180
1047.44,280156
1048.03,280131
1048.62,280107
1049.21,280083
1049.8,280058
1050.39,280034
1050.98,280010
1051.57,279986
1052.16,279962
1052.75,279938
1053.34,279913
1053.93,279890
1054.52,279866
1055.1,279842
1055.69,279818
1056.28,279794
1056.87,279770
1057.45,279746
1058.04,279723
1058.63,279699
1059.22,279675
1059.8,279651
1060.39,279628
1060.97,279604
1061.56,279580
1062.15,279557
1062.73,279533
1063.32,279509
1063.9,279485
1064.49,279462
1065.07,279438
1065.65,279415
1066.24,279391
1066.82,279367
1067.41,279344
1067.99,279321
1068.57,279297
1069.16,279274
1069.74,279251
1070.32,279227
1070.9,279204
1071.48,279181
1072.07,279158
1072.65,279135
1073.23,279112
1073.81,279089
1074.39,279066
1074.97,279043
1075.55,279020
1076.13,278997
1076.71,278974
1077.29,278950
1077.87,278927
1078.45,278904
1079.03,278881
1079.61,278858
1080.18,278835
1080.76,278812
1081.34,278789
1081.92,278766
1082.49,278743
1083.07,278720
1083.65,278697
1084.23,278675
1084.8,278652
1085.38,278629
1085.95,278606
1086.53,278584
1087.11,278561
1087.68,278539
1088.26,278517
1088.83,278494
1089.41,278472
1089.98,278450
1090.55,278427
1091.13,278405
1091.7,278383
1092.28,278360
1092.85,278338
1093.42,278316
1093.99,278294
1094.57,278271
1095.14,278249
1095.71,278227
1096.28,278204
1096.86,278182
1097.43,278159
1098,278137
1098.57,278115
1099.14,278092
1099.71,278070
1100.28,278048
1100.85,278025
1101.42,278003
1101.99,277981
1102.56,277959
1103.13,277937
1103.7,277915
1104.27,277893
1104.83,277872
1105.4,277850
1105.97,277828
1106.54,277806
1107.11,277785
1107.67,277763
1108.24,277742
1108.81,277720
1109.37,277699
1109.94,277677
1110.51,277656
1111.07,277634
1111.64,277613
1112.2,277591
1112.77,277569
1113.33,277548
1113.9,277526
1114.46,277505
1115.03,277483
1115.59,277461
1116.16,277439
1116.72,277418
1117.28,277396
1117.85,277374
1118.41,277353
1118.97,277331
1119.53,277310
1120.1,277288
1120.66,277267
1121.22,277246
1121.78,277224
1122.34,277203
1122.91,277182
1123.47,277161
1124.03,277140
1124.59,277119
1125.15,277098
1125.71,277077
1126.27,277056
1126.83,277035
1127.39,277014
1127.95,276994
1128.51,276973
1129.06,276952
1129.62,276931
1130.18,276910
1130.74,276889
1131.3,276869
1131.85,276848
1132.41,276827
1132.97,276806
1133.53,276785
1134.08,276764
1134.64,276743
1135.2,276723
1135.75,276702
1136.31,276681
1136.86,276660
1137.42,276639
1137.97,276618
1138.53,276598
1139.08,276577
1139.64,276556
1140.19,276536
1140.75,276515
1141.3,276494
1141.85,276474
1142.41,276453
1142.96,276433
1143.51,276413
1144.07,276392
1144.62,276372
1145.17,276352
1145.72,276331
1146.27,276311
1146.83,276291
1147.38,276271
1147.93,276250
1148.48,276230
1149.03,276210
1149.58,276190
1150.13,276170
1150.68,276150
1151.23,276129
1151.78,276109
1152.33,276089
1152.88,276069
1153.43,276049
1153.98,276029
1154.52,276009
1155.07,275989
1155.62,275969
1156.17,275949
1156.72,275929
1157.26,275909
1157.81,275889
1158.36,275869
1158.91,275849
1159.45,275829
1160,275810
1160.54,275790
1161.09,275770
1161.64,275750
1162.18,275730
1162.73,275711
1163.27,275691
1163.82,275671
1164.36,275651
1164.91,275632
1165.45,275612
1165.99,275592
1166.54,275573
1167.08,275553
1167.62,275533
1168.17,275514
1168.71,275494
1169.25,275475
1169.79,275455
1170.34,275435
1170.88,275416
1171.42,275397
1171.96,275377
1172.5,275358
1173.04,275338
1173.58,275319
1174.13,275300
1174.67,275281
1175.21,275262
1175.75,275242
1176.29,275223
1176.83,275204
1177.36,275185
1177.9,275166
1178.44,275147
1178.98,275128
1179.52,275109
1180.06,275090
1180.6,275071
1181.13,275051
1181.67,275032
1182.21,275013
1182.75,274994
1183.28,274975
1183.82,274956
1184.36,274937
1184.89,274917
1185.43,274898
1185.97,274879
1186.5,274860
1187.04,274841
1187.57,274822
1188.11,274803
1188.64,274784
1189.18,274765
1189.71,274746
1190.24,274727
1190.78,274708
1191.31,274689
1191.85,274670
1192.38,274652
1192.91,274633
1193.45,274614
1193.98,274596
1194.51,274577
1195.04,274559
1195.57,274541
1196.11,274522
1196.64,274504
1197.17,274486
1197.7,274467
1198.23,274449
1198.76,274431
1199.29,274413
1199.82,274394
1200.35,274376
1200.88,274358
1201.41,274339
1201.94,274321
1202.47,274302
1203,274284
1203.53,274265
1204.06,274247
1204.59,274228
1205.11,274210
1205.64,274191
1206.17,274173
1206.7,274154
1207.23,274135
1207.75,274117
1208.28,274098
1208.81,274080
1209.33,274061
1209.86,274043
1210.39,274024
1210.91,274006
1211.44,273988
1211.96,273970
1212.49,273952
1213.01,273933
1213.54,273915
1214.06,273898
1214.59,273880
1215.11,273862
1215.63,273844
1216.16,273827
1216.68,273809
1217.21,273791
1217.73,273774
1218.25,273756
1218.77,273739
1219.3,273721
1219.82,273704
1220.34,273686
1220.86,273669
1221.38,273651
1221.91,273633
1222.43,273616
1222.95,273598
1223.47,273580
1223.99,273563
1224.51,273545
1225.03,273527
1225.55,273509
1226.07,273491
1226.59,273473
1227.11,273456
1227.63,273438
1228.15,273420
1228.67,273402
1229.18,273384
1229.7,273366
1230.22,273348
1230.74,273330
1231.26,273312
1231.77,273294
1232.29,273277
1232.81,273259
1233.33,273241
1233.84,273224
1234.36,273206
1234.88,273189
1235.39,273172
1235.91,273154
1236.42,273137
1236.94,273120
1237.45,273103
1237.97,273086
1238.48,273069
1239,273052
1239.51,273035
1240.03,273019
1240.54,273002
1241.05,272985
1241.57,272968
1242.08,272951
1242.59,272934
1243.11,272918
1243.62,272901
1244.13,272884
1244.64,272867
1245.16,272850
1245.67,272833
1246.18,272816
1246.69,272799
1247.2,272782
1247.71,272765
1248.23,272748
1248.74,272730
1249.25,272713
1249.76,272696
1250.27,272679
1250.78,272661
1251.29,272644
1251.8,272627
1252.31,272610
1252.81,272592
1253.32,272575
1253.83,272558
1254.34,272541
1254.85,272524
1255.36,272507
1255.86,272490
1256.37,272473
1256.88,272456
1257.39,272439
1257.89,272422
1258.4,272406
1258.91,272389
1259.41,272372
1259.92,272356
1260.43,272340
1260.93,272323
1261.44,272307
1261.94,272290
1262.45,272274
1262.95,272258
1263.46,272242
1263.96,272225
1264.47,272209
1264.97,272193
1265.47,272177
1265.98,272161
1266.48,272145
1266.99,272129
1267.49,272113
1267.99,272096
1268.49,272080
1269,272064
1269.5,272048
1270,272032
1270.5,272015
1271.01,271999
1271.51,271983
1272.01,271966
1272.51,271950
1273.01,271934
1273.51,271917
1274.01,271901
1274.51,271884
1275.01,271868
1275.51,271851
1276.01,271835
1276.51,271818
1277.01,271802
1277.51,271785
1278.01,271769
1278.51,271752
1279.01,271736
1279.5,271719
1280,271703
1280.5,271687
1281,271670
1281.5,271654
1281.99,271638
1282.49,271621
1282.99,271605
1283.48,271589
1283.98,271573
1284.48,271557
1284.97,271541
1285.47,271525
1285.96,271510
1286.46,271494
1286.96,271478
1287.45,271463
1287.95,271447
1288.44,271431
1288.94,271416
1289.43,271401
1289.92,271385
1290.42,271370
1290.91,271355
1291.41,271339
1291.9,271324
1292.39,271309
1292.88,271293
1293.38,271277
1293.87,271262
1294.36,271247
1294.85,271231
1295.35,271216
1295.84,271201
1296.33,271185
1296.82,271170
1297.31,271155
1297.8,271139
1298.29,271123
1298.78,271108
1299.28,271092
1299.77,271076
1300.26,271061
1300.75,271045
1301.24,271029
1301.72,271013
1302.21,270997
1302.7,270981
1303.19,270965
1303.68,270949
1304.17,270933
1304.66,270917
1305.15,270901
1305.63,270885
1306.12,270869
1306.61,270853
1307.1,270837
1307.58,270821
1308.07,270805
1308.56,270789
1309.04,270774
1309.53,270758
1310.01,270743
1310.5,270727
1310.99,270712
1311.47,270696
1311.96,270681
1312.44,270666
1312.93,270651
1313.41,270636
1313.9,270622
1314.38,270608
1314.87,270593
1315.35,270578
1315.83,270563
1316.32,270549
1316.8,270535
1317.28,270521
1317.77,270506
1318.25,270492
1318.73,270478
1319.21,270464
1319.7,270450
1320.18,270435
1320.66,270421
1321.14,270407
1321.62,270393
1322.1,270378
1322.59,270364
1323.07,270349
1323.55,270335
1324.03,270320
1324.51,270305
1324.99,270290
1325.47,270275
1325.95,270260
1326.43,270245
1326.91,270230
1327.39,270215
1327.86,270199
1328.34,270184
1328.82,270168
1329.3,270153
1329.78,270137
1330.26,270121
1330.73,270106
1331.21,270090
1331.69,270074
1332.17,270059
1332.64,270043
1333.12,270028
1333.6,270012
1334.07,269997
1334.55,269981
1335.03,269966
1335.5,269951
1335.98,269936
