x(mm),P (Pa)
912.06,15363.3
912.71,15363.3
913.35,15363.3
914,15363.3
914.64,15363.3
915.29,15363.2
915.93,15363.2
916.57,15363.2
917.22,15363.2
917.86,15363.1
918.51,15363.1
919.15,15363.1
919.79,15363.1
920.43,15363
921.08,15363
921.72,15363
922.36,15363
923,15363
923.64,15363
924.28,15363
924.92,15362.9
925.56,15362.9
926.2,15362.9
926.84,15362.9
927.48,15362.9
928.12,15362.9
928.76,15362.9
929.4,15362.8
930.04,15362.8
930.68,15362.8
931.32,15362.8
931.95,15362.7
932.59,15362.7
933.23,15362.7
933.87,15362.7
934.5,15362.6
935.14,15362.6
935.78,15362.6
936.41,15362.6
937.05,15362.6
937.68,15362.6
938.32,15362.6
938.95,15362.5
939.59,15362.5
940.22,15362.5
940.86,15362.5
941.49,15362.5
942.13,15362.5
942.76,15362.4
943.39,15362.4
944.03,15362.4
944.66,15362.4
945.29,15362.4
945.92,15362.3
946.55,15362.3
947.19,15362.3
947.82,15362.3
948.45,15362.2
949.08,15362.2
949.71,15362.2
950.34,15362.2
950.97,15362.2
951.6,15362.2
952.23,15362.2
952.86,15362.1
953.49,15362.1
954.12,15362.1
954.75,15362.1
955.38,15362.1
956,15362.1
956.63,15362.1
957.26,15362
957.89,15362
958.51,15362
959.14,15362
959.77,15361.9
960.39,15361.9
961.02,15361.9
961.65,15361.9
962.27,15361.9
962.9,15361.8
963.52,15361.8
964.15,15361.8
964.77,15361.8
965.4,15361.8
966.02,15361.8
966.64,15361.8
967.27,15361.7
967.89,15361.7
968.52,15361.7
969.14,15361.7
969.76,15361.7
970.38,15361.7
971.01,15361.7
971.63,15361.6
972.25,15361.6
972.87,15361.6
973.49,15361.6
974.11,15361.5
974.73,15361.5
975.35,15361.5
975.97,15361.5
976.59,15361.5
977.21,15361.4
977.83,15361.4
978.45,15361.4
979.07,15361.4
979.69,15361.4
980.31,15361.4
980.93,15361.4
981.54,15361.4
982.16,15361.3
982.78,15361.3
983.4,15361.3
984.01,15361.3
984.63,15361.3
985.25,15361.3
985.86,15361.3
986.48,15361.2
987.09,15361.2
987.71,15361.2
988.33,15361.2
988.94,15361.1
989.56,15361.1
990.17,15361.1
990.78,15361.1
991.4,15361.1
992.01,15361
992.63,15361
993.24,15361
993.85,15361
994.46,15361
995.08,15361
995.69,15361
996.3,15361
996.91,15360.9
997.52,15360.9
998.14,15360.9
998.75,15360.9
999.36,15360.9
999.97,15360.9
1000.58,15360.9
1001.19,15360.8
1001.8,15360.8
1002.41,15360.8
1003.02,15360.8
1003.63,15360.8
1004.24,15360.7
1004.84,15360.7
1005.45,15360.7
1006.06,15360.7
1006.67,15360.7
1007.28,15360.6
1007.88,15360.6
1008.49,15360.6
1009.1,15360.6
1009.7,15360.6
1010.31,15360.6
1010.92,15360.6
1011.52,15360.5
1012.13,15360.5
1012.73,15360.5
1013.34,15360.5
1013.94,15360.5
1014.55,15360.5
1015.15,15360.5
1015.76,15360.5
1016.36,15360.5
1016.96,15360.4
1017.57,15360.4
1018.17,15360.4
1018.77,15360.4
1019.38,15360.4
1019.98,15360.3
1020.58,15360.3
1021.18,15360.3
1021.79,15360.3
1022.39,15360.2
1022.99,15360.2
1023.59,15360.2
1024.19,15360.2
1024.79,15360.2
1025.39,15360.2
1025.99,15360.2
1026.59,15360.1
1027.19,15360.1
1027.79,15360.1
1028.39,15360.1
1028.99,15360.1
1029.59,15360.1
1030.19,15360.1
1030.78,15360.1
1031.38,15360.1
1031.98,15360
1032.58,15360
1033.17,15360
1033.77,15360
1034.37,15360
1034.96,15360
1035.56,15359.9
1036.16,15359.9
1036.75,15359.9
1037.35,15359.9
1037.94,15359.9
1038.54,15359.8
1039.13,15359.8
1039.73,15359.8
1040.32,15359.8
1040.92,15359.8
1041.51,15359.8
1042.1,15359.7
1042.7,15359.7
1043.29,15359.7
1043.88,15359.7
1044.48,15359.7
1045.07,15359.7
1045.66,15359.7
1046.25,15359.7
1046.84,15359.7
1047.44,15359.7
1048.03,15359.6
1048.62,15359.6
1049.21,15359.6
1049.8,15359.6
