x(mm),P (Pa)
1027.89,15362.9
1028.79,15362.9
1029.69,15362.9
1030.59,15362.8
1031.48,15362.8
1032.38,15362.8
1033.28,15362.7
1034.17,15362.7
1035.07,15362.7
1035.96,15362.7
1036.85,15362.6
1037.75,15362.6
1038.64,15362.6
1039.53,15362.6
1040.42,15362.5
1041.31,15362.5
1042.21,15362.5
1043.1,15362.5
1043.99,15362.4
1044.87,15362.4
1045.76,15362.4
1046.65,15362.3
1047.54,15362.3
1048.42,15362.3
1049.31,15362.3
1050.2,15362.2
1051.08,15362.2
1051.97,15362.2
1052.85,15362.1
1053.73,15362.1
1054.62,15362.1
1055.5,15362.1
1056.38,15362.1
1057.26,15362.1
1058.15,15362.1
1059.03,15362.1
1059.91,15362.1
1060.78,15362.1
1061.66,15362.1
1062.54,15362.1
1063.42,15362.1
1064.3,15362.1
1065.17,15362.1
1066.05,15362.1
1066.93,15362
1067.8,15362
1068.68,15362
1069.55,15361.9
1070.42,15361.9
1071.3,15361.8
1072.17,15361.8
1073.04,15361.7
1073.91,15361.6
1074.78,15361.6
1075.65,15361.5
1076.52,15361.5
1077.39,15361.4
1078.26,15361.4
1079.13,15361.4
1080,15361.3
1080.87,15361.3
1081.73,15361.3
1082.6,15361.3
1083.46,15361.3
1084.33,15361.3
1085.19,15361.4
1086.06,15361.4
1086.92,15361.4
1087.79,15361.5
1088.65,15361.5
1089.51,15361.5
1090.37,15361.6
1091.23,15361.6
1092.09,15361.6
1092.95,15361.6
1093.81,15361.6
1094.67,15361.5
1095.53,15361.5
1096.39,15361.5
1097.25,15361.4
1098.1,15361.3
1098.96,15361.2
1099.82,15361.2
1100.67,15361.1
1101.53,15361
1102.38,15360.9
1103.23,15360.8
1104.09,15360.7
1104.94,15360.7
1105.79,15360.6
1106.64,15360.6
1107.5,15360.5
1108.35,15360.5
1109.2,15360.5
1110.05,15360.5
1110.9,15360.5
1111.74,15360.5
1112.59,15360.6
1113.44,15360.6
1114.29,15360.7
1115.13,15360.8
1115.98,15360.8
1116.83,15360.9
1117.67,15360.9
1118.52,15361
1119.36,15361
1120.2,15361.1
1121.05,15361.1
1121.89,15361.1
1122.73,15361.1
1123.57,15361
