Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Absolute Pressure (Pa)
0.876518632,7027.035006
0.879198644,7027.247206
0.890216468,7014.915425
0.889025352,7016.373749
0.886940899,7019.503163
0.889323131,7015.978667
0.885452003,7021.899775
0.88634534,7020.460787
0.884558666,7023.294014
0.880091981,7027.218971
0.881580876,7026.665622
0.881878785,7026.461022
0.879496423,7027.254622
0.890514247,7014.608496
0.88664312,7019.980766
0.885154224,7022.372494
0.884856445,7022.83819
0.879794202,7027.247117
0.890812026,7014.329017
0.891109805,7014.078905
0.891407584,7013.860424
0.891705363,7013.674026
0.892003142,7013.520197
0.892300921,7013.39775
0.8925987,7013.310093
0.892896479,7013.252577
0.893194258,7013.226823
0.893492037,7013.229555
0.893789816,7013.257298
0.894087595,7013.315799
0.89438766,7013.394585
0.894683258,7013.498491
0.894978752,7013.614061
0.895278712,7013.753876
0.895576491,7013.90488
0.89587427,7014.069202
0.896172049,7014.244968
0.896469828,7014.428458
0.896767607,7014.620653
0.897065386,7014.820286
0.897363165,7015.026841
0.897660944,7015.241672
0.897958723,7015.463791
0.898256502,7015.69418
0.898554281,7015.933313
0.89885206,7016.18162
0.899149839,7016.439148
0.899447618,7016.706927
0.899745397,7016.984466
0.900043176,7017.271915
0.900340955,7017.568202
0.900642099,7017.876826
0.900939041,7018.187252
0.901233456,7018.502935
0.901532071,7018.827849
0.90182985,7019.157216
0.90212763,7019.491735
0.902425409,7019.831757
0.902723188,7020.178218
0.903020967,7020.533338
0.903318746,7020.898056
0.903616525,7021.275822
0.903914304,7021.667089
0.904212083,7022.077207
0.904509862,7022.502959
0.904807641,7022.949196
0.90510542,7023.411658
0.905403199,7023.894987
0.905700978,7024.393729
0.905998757,7024.911465
0.906296536,7025.443046
0.906594315,7025.987728
0.906892094,7026.544431
0.907190382,7027.107656
0.907486085,7027.673035
0.907783355,7028.241555
0.90808321,7028.814744
0.908380989,7029.37793
0.908678768,7029.936786
0.908976547,7030.485612
0.909274326,7031.025305
0.909572105,7031.55183
0.909869885,7032.065965
0.910167664,7032.565938
0.910465443,7033.05098
0.910763222,7033.521077
0.911061001,7033.975426
0.91135878,7034.41391
0.911656559,7034.835605
0.911954338,7035.239933
0.912252117,7035.627486
0.912549896,7035.996846
0.912847675,7036.347786
0.913145454,7036.680126
0.913443378,7036.993694
0.913738269,7037.285944
0.914035904,7037.564366
0.91433657,7037.827746
0.914634349,7038.073872
0.914932128,7038.306858
0.915229907,7038.528794
0.915527686,7038.742226
0.915825465,7038.949943
0.916123244,7039.155058
0.916421023,7039.360295
0.916718802,7039.568138
0.917016581,7039.78099
0.91731436,7040.001425
0.91761214,7040.230991
0.917909919,7040.47171
0.918207698,7040.725344
0.918505477,7040.993136
0.918803256,7041.275871
0.919101035,7041.57459
0.919398814,7041.889596
0.919697815,7042.224232
0.919993731,7042.571145
0.920290288,7042.940487
0.92058993,7043.329577
0.920887709,7043.739498
0.921185488,7044.16721
0.921483267,7044.618016
0.921781046,7045.087338
0.922078825,7045.58129
0.922376604,7046.095035
0.922674383,7046.635731
0.922972162,7047.198862
0.923269941,7047.790239
0.92356772,7048.408087
0.923865499,7049.055067
0.924163278,7049.731905
0.924461057,7050.434531
0.924758836,7051.164964
0.925056615,7051.914906
0.925354395,7052.684832
0.925652174,7053.461733
0.925952253,7054.251073
0.926247869,7055.023244
0.926543348,7055.792901
0.92684329,7056.561027
0.927141069,7057.312238
0.927438848,7058.053477
0.927736627,7058.785409
0.928034406,7059.511824
0.928332185,7060.23672
0.928629964,7060.966822
0.928927743,7061.706931
0.929225522,7062.462111
0.929523301,7063.23531
0.92982108,7064.029248
0.930118859,7064.842593
0.930416638,7065.675715
0.930714417,7066.523624
0.931012196,7067.385137
0.931309975,7068.246883
0.931607754,7069.105595
0.931905533,7069.948367
0.932206691,7070.777922
0.932503652,7071.557906
0.932798053,7072.290711
0.93309665,7072.975433
0.933394429,7073.59414
0.933692208,7074.140946
0.933989987,7074.607827
0.934287766,7074.990895
0.934585545,7075.282574
0.934883324,7075.485646
0.935181103,7075.592198
0.935478882,7075.613499
0.935776661,7075.542702
0.93607444,7075.378344
1.011710316,7031.332206
1.012008095,7031.366268
1.011412537,7031.263478
1.012305874,7031.368379
1.009030304,7029.279951
1.00872968,7028.876432
1.011114758,7031.157053
1.012603653,7031.346839
1.013794769,7031.137522
1.014092548,7031.090533
1.009328084,7029.65931
1.008432089,7028.448404
1.010816979,7031.008893
1.012901432,7031.30518
1.014391593,7031.057756
1.01349699,7031.193401
1.009625863,7030.003499
1.008137156,7028.016055
1.0105192,7030.819592
1.013199211,7031.251636
1.010221421,7030.587957
1.009923642,7030.316752
1.007839188,7027.560379
1.005159177,7024.063644
1.004861398,7023.861947
1.007541409,7027.10975
1.005456956,7024.311156
1.004563619,7023.736061
1.00724363,7026.65135
1.00426584,7023.668713
1.005754735,7024.6277
1.006945851,7026.210404
1.003968061,7023.683452
1.006052514,7024.972789
1.006648072,7025.77359
1.003670282,7023.779432
1.006350293,7025.367068
1.00099027,7028.31146
1.001288049,7027.510589
0.991163562,7047.259334
0.991461341,7047.432696
0.998310259,7036.972733
0.998608038,7035.980752
1.003372503,7023.950347
1.002776945,7024.558771
1.000692491,7029.167622
1.001585828,7026.77156
1.002477127,7024.997356
0.990865783,7047.042531
