Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Skin Friction Coefficient
1.087048413,469.7457713
1.08436633,470.1003608
1.094790668,468.570016
1.093897331,468.676202
1.075137251,470.7678162
1.07543503,470.7703323
1.078412821,470.7356236
1.078113248,470.7463232
1.082581727,470.3435384
1.079901716,470.6479564
1.082879506,470.3032873
1.083775217,470.1805902
1.084070923,470.1410869
1.094492889,468.6024251
1.09419511,468.6382116
1.069777228,470.6610563
1.069479449,470.6537214
1.070075008,470.6683376
1.074839472,470.7645866
1.075732809,470.7720807
1.0787106,470.7231241
1.077816764,470.7548573
1.079603937,470.670816
1.06918167,470.6466719
1.070372787,470.6756407
1.074541693,470.7607511
1.076030588,470.7732324
1.079008379,470.7081789
1.077520779,470.7619263
1.079306158,470.6907707
1.072159461,470.7167655
1.07245724,470.7231848
1.068883891,470.6395747
1.070670566,470.6827488
1.074243914,470.7562978
1.076328367,470.7735448
1.077221704,470.7672141
1.071858864,470.7105119
1.072755019,470.7293929
1.068586112,470.6328413
1.070968345,470.6899827
1.073946135,470.7514518
1.076626146,470.7728607
1.076923925,470.7708219
1.071561302,470.7032779
1.073052798,470.7352504
1.068288333,470.6263636
1.071266341,470.6968704
1.073648356,470.7464109
1.073350577,470.7409761
1.067990554,470.6203697
1.067692775,470.6146803
1.067394996,470.609553
1.067097217,470.6047284
1.066799438,470.6006898
1.066501659,470.597058
1.06620388,470.5945492
1.065906101,470.5926993
1.065606308,470.5921699
1.065309128,470.5920463
1.065013364,470.5938569
1.064714985,470.5963281
1.064417206,470.5999714
1.064119427,470.6051471
1.063821648,470.6107953
1.063523869,470.6181556
1.06322609,470.6257848
1.062928311,470.6347844
1.062630532,470.6444369
1.062332752,470.6552947
1.062034973,470.6668217
1.061737194,470.6796643
1.061439415,470.6930908
1.061141636,470.7081556
1.060843857,470.7239773
1.060546078,470.7415086
1.060248299,470.7598547
1.05995052,470.7803992
1.059652741,470.8015726
1.059354962,470.8255675
1.059056438,470.8502512
1.058762095,470.8769404
1.058465062,470.9051124
1.058163846,470.936484
1.057866067,470.9686474
1.057568288,471.0035054
1.057270509,471.0400883
1.05697273,471.07897
1.056674951,471.1200483
1.056377172,471.1635123
1.056079393,471.2092516
1.055781614,471.2571837
1.055483835,471.3071946
1.055186056,471.3594349
1.054888277,471.413492
1.054590497,471.4694642
1.054292718,471.5272331
1.053994939,471.5866407
1.05369716,471.6475256
1.053399381,471.7098147
