x [m],Heat flux [MW/m^2]
1.584418267000000102e-01,1.229480272999999985e-01
1.591117828999999984e-01,1.228611540999999946e-01
1.597817242000000026e-01,1.227748508000000016e-01
1.604516655000000069e-01,1.226890134999999993e-01
1.611216068000000112e-01,1.226036046999999934e-01
1.617915480999999878e-01,1.225186048999999944e-01
1.624615043000000036e-01,1.224340537000000034e-01
1.631314456000000079e-01,1.223500121000000024e-01
1.638013869999999927e-01,1.222665401000000013e-01
1.644713282999999970e-01,1.221836674999999955e-01
1.651412696000000013e-01,1.221014088000000053e-01
1.658112257999999894e-01,1.220197348999999959e-01
1.664811670999999937e-01,1.219385805999999989e-01
1.671511083999999980e-01,1.218578891999999997e-01
1.678210497000000023e-01,1.217775688999999939e-01
1.684909910000000066e-01,1.216975723000000009e-01
1.691609471999999947e-01,1.216179384000000002e-01
1.698308884999999990e-01,1.215387054999999966e-01
1.705008298000000033e-01,1.214599819999999941e-01
1.711707711000000076e-01,1.213817761000000051e-01
1.718407124000000119e-01,1.213040957999999975e-01
1.725106686000000000e-01,1.212269489000000061e-01
1.731806099000000043e-01,1.211501491000000069e-01
1.738505512000000086e-01,1.210740512999999990e-01
1.745204925999999934e-01,1.209984409000000039e-01
1.751904338999999977e-01,1.209228717999999980e-01
1.758603901000000136e-01,1.208476863000000068e-01
1.765303313999999901e-01,1.207728802000000018e-01
1.772002726999999944e-01,1.206984083000000041e-01
1.778702139999999987e-01,1.206243345999999939e-01
1.785401553000000030e-01,1.205506816999999953e-01
1.792101114999999911e-01,1.204774583000000066e-01
1.798800527999999954e-01,1.204046730000000037e-01
1.805499940999999997e-01,1.203323210000000060e-01
1.812199354000000040e-01,1.202604240999999990e-01
1.818898767000000083e-01,1.201889507000000051e-01
1.825598328999999964e-01,1.201178697000000045e-01
1.832297742000000007e-01,1.200470978000000022e-01
1.838997155000000050e-01,1.199765923000000040e-01
1.845696568000000093e-01,1.199063503000000058e-01
1.852395981999999941e-01,1.198364601000000002e-01
1.859095544000000100e-01,1.197669697999999977e-01
1.865794956999999865e-01,1.196978890999999962e-01
1.872494369999999908e-01,1.196291728000000026e-01
1.879193782999999951e-01,1.195606768999999958e-01
1.885893195999999994e-01,1.194922325999999979e-01
1.892592757999999875e-01,1.194238012999999932e-01
1.899292170999999918e-01,1.193555097999999953e-01
1.905991583999999961e-01,1.192877616000000002e-01
1.912690997000000004e-01,1.192211439000000067e-01
1.919390410000000047e-01,1.191563991000000045e-01
1.926089971999999928e-01,1.190940961000000048e-01
1.932789384999999971e-01,1.190345592000000008e-01
1.939488798000000014e-01,1.189776726999999951e-01
1.946188211000000057e-01,1.189227397000000019e-01
1.952887624999999905e-01,1.188685911999999983e-01
1.959587187000000064e-01,1.188137789000000000e-01
1.966286600000000107e-01,1.187568984000000050e-01
1.972986012999999872e-01,1.186969927000000036e-01
1.979685425999999915e-01,1.186336171999999994e-01
1.986384838999999958e-01,1.185669891000000059e-01
1.993084401000000117e-01,1.184978081999999988e-01
1.999783813999999882e-01,1.184270508999999971e-01
2.006483226999999925e-01,1.183557922000000040e-01
2.013182639999999968e-01,1.182849717999999994e-01
2.019882202000000126e-01,1.182153140000000019e-01
2.026581614999999892e-01,1.181472357000000056e-01
2.033281027999999935e-01,1.180808755000000015e-01
2.039980440999999978e-01,1.180161457000000053e-01
2.046679854000000021e-01,1.179528180000000009e-01
2.053379267000000064e-01,1.178905967999999971e-01
2.060078830000000027e-01,1.178292135000000018e-01
2.066778243000000070e-01,1.177684499999999967e-01
2.073477656000000113e-01,1.177081720999999942e-01
2.080177068999999879e-01,1.176482593999999965e-01
2.086876631000000037e-01,1.175887082000000028e-01
2.093576044000000080e-01,1.175293652999999938e-01
2.100275457000000123e-01,1.174702516000000058e-01
2.106974869999999889e-01,1.174112734000000019e-01
2.113674282999999932e-01,1.173524066000000005e-01
