Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Shear Stress: Magnitude (Pa)
2.094433416,72.51136527
2.092946011,72.47827755
2.092648232,72.47285901
2.076568164,72.89015218
2.075671427,72.9444347
2.078950396,72.74592194
2.079843733,72.69552563
2.082225965,72.58177434
2.082523745,72.5701898
2.084608198,72.50546695
2.086097093,72.47546845
2.094138476,72.50366772
2.09324379,72.48428094
2.092350453,72.46779237
2.073590373,73.06464395
2.073292594,73.08074024
2.076865943,72.87183527
2.075373254,72.96299921
2.078652617,72.76339925
2.080141512,72.67947274
2.081925812,72.59404406
2.082821524,72.55908842
2.084310419,72.51303989
2.086394872,72.47119231
2.093842188,72.49741121
2.093541569,72.49054716
2.092052674,72.463386
2.090563779,72.44968925
2.090266,72.44874804
2.073888152,73.0483084
2.072994815,73.09645947
2.077163722,72.85356872
2.075078875,72.98004785
2.078354838,72.78111198
2.080439291,72.663924
2.081628716,72.60699629
2.083119303,72.54870454
2.081034849,72.63423565
2.081333312,72.620195
2.08401264,72.52087432
2.086692651,72.46725685
2.091754895,72.45949004
2.090861558,72.45132901
2.089968221,72.44813972
2.070910362,73.19823673
2.071208141,73.18460389
2.072697036,73.11195108
2.074185931,73.03164857
2.077461501,72.83520173
2.074781489,72.99754992
2.078057059,72.79900725
2.08073707,72.6488542
2.083417082,72.53877309
2.083714861,72.52947243
2.08699043,72.46385816
2.088777104,72.45029636
2.089074883,72.44918068
2.091457116,72.45616926
2.091159337,72.45344819
2.089670442,72.44807519
2.070612583,73.21160835
2.07150592,73.17070674
2.072101478,73.14193769
2.072399257,73.12707872
2.07448371,73.0147478
2.07775928,72.81705175
2.087288209,72.46070673
2.088479325,72.45165656
2.089372662,72.44837437
2.070314804,73.22469343
2.071803699,73.1564545
2.087587749,72.45807797
2.088178711,72.45372636
2.070017025,73.23762322
2.087882693,72.4553493
2.069719246,73.25047766
2.069418932,73.26282434
2.069120989,73.27577733
2.068828057,73.28830703
2.068530441,73.30050139
2.068230351,73.31367738
2.067932572,73.32661968
2.067634792,73.33987428
2.067337013,73.35338834
2.067039234,73.367134
2.066741455,73.38124233
2.066443676,73.3956461
2.066145897,73.41031017
2.065848118,73.42528553
2.065550339,73.44042923
2.06525256,73.45574705
2.064954781,73.47128242
2.064657002,73.48692372
2.064359223,73.50259746
2.064061444,73.51832385
2.063763665,73.53395861
2.063465886,73.54953423
2.063168107,73.5650072
2.062868819,73.57991886
2.062573865,73.59546537
2.062277595,73.60923896
2.061976991,73.62407145
2.061679212,73.63789355
2.061381433,73.65151405
2.061083654,73.66477241
2.060785875,73.67761016
2.060488096,73.69020352
2.060190316,73.70242239
2.059892537,73.71441819
2.059594758,73.72609146
2.059296979,73.73753933
2.0589992,73.74876376
2.058701421,73.75978494
2.058403642,73.7705454
2.058105863,73.78115829
2.057808084,73.79146025
2.057510305,73.801612
2.057212526,73.81144484
2.056914747,73.8212627
2.056614115,73.83012327
2.056318082,73.83963613
2.056023157,73.84754006
2.055723631,73.85589472
2.055425852,73.86372554
2.055128073,73.87120448
2.054830294,73.87832879
2.054532515,73.88500141
2.054234736,73.89139501
2.053936957,73.89745919
2.053639178,73.90316122
2.053341399,73.90855578
2.05304362,73.91366671
2.05274584,73.91844549
2.052448061,73.92293722
2.052150282,73.92702607
2.051852503,73.93091688
2.051554724,73.93439695
2.051256945,73.93762349
2.050959166,73.94048377
2.050661387,73.94317788
2.05036122,73.94512784
2.050064109,73.94710843
2.049768719,73.94838526
2.049470271,73.94950428
2.049172492,73.95021943
2.048874713,73.95049436
2.048576934,73.9502277
2.048279155,73.94959753
2.047981376,73.94830552
2.047683597,73.94656345
2.047385818,73.94420938
2.047088039,73.94140615
2.04679026,73.93790373
2.046492481,73.9340085
2.046194702,73.92906959
2.045896923,73.92361832
2.045599143,73.91768595
2.045301364,73.91111046
2.045003585,73.90420467
2.044705806,73.89675939
2.044408027,73.88914793
2.044106835,73.88121293
2.043808647,73.87290465
2.043514282,73.86488221
2.043216911,73.85673494
2.042919132,73.84867933
2.042621353,73.84081682
2.042323574,73.83319116
2.042025795,73.82587577
2.041728016,73.81893151
2.041430237,73.81239625
2.041132458,73.80632629
2.040834679,73.80078698
2.0405369,73.79575545
2.040239121,73.79135858
2.039941342,73.78767246
2.039643563,73.78472114
2.039345784,73.78261705
2.039048005,73.78141562
2.038750226,73.78099086
2.038452447,73.78158663
2.038154667,73.78289474
2.037854341,73.78525082
2.03755638,73.78814776
2.037263448,73.79156784
2.036965851,73.79616525
2.036665772,73.80132755
2.036367993,73.807156
2.036070214,73.81360509
2.035772435,73.8203763
2.035474656,73.82690716
2.035176877,73.83314863
2.034879098,73.83881344
2.034581319,73.84451002
2.03428354,73.85039369
2.033985761,73.85631754
2.033687982,73.86216655
2.033390203,73.867832
2.033092424,73.87331643
2.032794645,73.87856119
2.032496866,73.88356879
2.032199087,73.88833206
2.031901308,73.89284426
2.031603529,73.89705777
2.031304223,73.9008106
2.031009254,73.90450608
2.030713002,73.90710089
2.030412412,73.90941415
2.030114633,73.91123152
2.029816854,73.91235709
2.029519075,73.91274689
2.029221296,73.91241714
2.028923517,73.91135285
2.028625738,73.90961965
2.028327959,73.90736609
2.02803018,73.90455634
2.027732401,73.90121968
2.027434622,73.89750889
2.027136843,73.89294936
2.026839064,73.88816402
2.026541285,73.88306696
2.026243506,73.87759659
2.025945727,73.87179841
2.025647948,73.8657436
2.025350169,73.85947066
2.025049518,73.85296252
2.024753471,73.84608397
2.024458564,73.83942206
2.024159053,73.83223905
2.023861274,73.82514368
2.023563494,73.81800958
2.023265715,73.81091028
2.022967936,73.80386802
2.022670157,73.79695162
2.022372378,73.79012538
2.022074599,73.7834992
2.02177682,73.77695568
2.021479041,73.77056675
2.021181262,73.76431864
2.020883483,73.75815694
2.020585704,73.75207637
2.020287925,73.74604082
2.019990146,73.74002512
2.019692367,73.73395653
2.019394588,73.72784401
2.019096809,73.72160197
2.018796627,73.71544562
2.018499502,73.70866927
2.018204126,73.70237447
2.017905693,73.695517
2.017607914,73.68861688
2.017310135,73.68158689
2.103070498,72.71665494
2.102772719,72.70957747
