Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Wall Distance (m)
1.560898246,6.32E-07
1.561096757,6.32E-07
1.561295268,6.32E-07
1.561493779,6.32E-07
1.56169229,6.32E-07
1.5618908,6.32E-07
1.562089311,6.32E-07
1.562287822,6.32E-07
1.562486333,6.32E-07
1.562684844,6.32E-07
1.562883355,6.32E-07
1.563081866,6.32E-07
1.563280377,6.32E-07
1.563478888,6.32E-07
1.563677399,6.32E-07
1.563875909,6.32E-07
1.56407442,6.32E-07
1.564270429,6.32E-07
1.56446894,6.32E-07
1.564669953,6.32E-07
1.564868464,6.32E-07
1.565066975,6.32E-07
1.565264347,6.32E-07
1.565462858,6.32E-07
1.565662508,6.32E-07
1.565861019,6.32E-07
1.566059529,6.32E-07
1.566258264,6.32E-07
1.566456775,6.32E-07
1.566655062,6.32E-07
1.566853573,6.32E-07
1.567052084,6.32E-07
1.567252182,6.32E-07
1.567450693,6.32E-07
1.567647617,6.32E-07
1.567846128,6.32E-07
1.568044638,6.32E-07
1.568244922,6.32E-07
1.568443432,6.32E-07
1.568640171,6.32E-07
1.568838682,6.32E-07
1.569037193,6.32E-07
1.569235704,6.32E-07
1.569434215,6.32E-07
1.569632726,6.32E-07
1.569831237,6.32E-07
1.570029747,6.32E-07
1.570228258,6.32E-07
1.570426769,6.32E-07
1.57062528,6.32E-07
1.570823791,6.32E-07
1.571022302,6.32E-07
1.571220813,6.32E-07
1.571419324,6.32E-07
1.571617835,6.32E-07
1.571816346,6.32E-07
1.572014856,6.32E-07
1.572213367,6.32E-07
1.572411878,6.32E-07
1.572610389,6.32E-07
1.5728089,6.32E-07
1.573007411,6.32E-07
1.573205922,6.32E-07
1.573404433,6.32E-07
1.573602944,6.32E-07
1.573801455,6.32E-07
1.573999966,6.32E-07
1.574198476,6.32E-07
1.574396987,6.32E-07
1.574595498,6.32E-07
1.574791737,6.32E-07
1.574990248,6.32E-07
1.575191031,6.32E-07
1.575389542,6.32E-07
1.575588053,6.32E-07
1.575785655,6.32E-07
1.575984166,6.32E-07
1.576183585,6.32E-07
1.576382096,6.32E-07
1.576580607,6.32E-07
1.576779573,6.32E-07
1.576978083,6.32E-07
1.57717614,6.32E-07
1.577374651,6.32E-07
1.577573162,6.32E-07
1.57777349,6.32E-07
1.577972001,6.32E-07
1.578168694,6.32E-07
1.578367205,6.32E-07
1.578565716,6.32E-07
1.578766138,6.32E-07
1.578964649,6.32E-07
1.579161249,6.32E-07
1.57935976,6.32E-07
1.579558271,6.32E-07
1.579756782,6.32E-07
1.579955293,6.32E-07
1.580153803,6.32E-07
1.580352314,6.32E-07
1.580550825,6.32E-07
1.580749336,6.32E-07
1.580947847,6.32E-07
1.581146358,6.32E-07
1.581344869,6.32E-07
1.58154338,6.32E-07
1.581741891,6.32E-07
1.581940402,6.32E-07
1.582138912,6.32E-07
1.582337423,6.32E-07
1.582535934,6.32E-07
1.582734445,6.32E-07
1.582932956,6.32E-07
1.583131467,6.32E-07
1.583329978,6.32E-07
1.583528489,6.32E-07
1.583727,6.32E-07
1.583925511,6.32E-07
1.584124022,6.32E-07
1.584320486,6.32E-07
1.584518997,6.32E-07
1.584719554,6.32E-07
1.584918065,6.32E-07
1.585116576,6.32E-07
1.585313045,6.32E-07
1.585511556,6.32E-07
1.446357455,6.32E-07
1.446555966,6.32E-07
1.444175586,6.32E-07
1.446158945,6.32E-07
