Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Boundary Heat Flux (W/m^2)
1.605166177,36978.81237
1.604967666,36982.63903
1.604769155,36986.41301
1.604570644,36990.1082
1.604372134,36993.74642
1.604173623,36997.30818
1.603975112,37000.80283
1.603776601,37004.22926
1.60357809,37007.57764
1.603379579,37010.854
1.603181068,37014.06234
1.602982557,37017.20228
1.602784046,37020.27485
1.602585535,37023.27386
1.602387025,37026.22317
1.602188514,37029.09893
1.601990003,37031.91658
1.601791492,37034.67674
1.601592981,37037.3868
1.60139447,37040.03726
1.601195959,37042.63422
1.600997448,37045.18207
1.600798937,37047.66646
1.600600426,37050.10764
1.600401915,37052.47419
1.600203405,37054.79591
1.600004894,37057.03923
1.599806383,37059.22251
1.599607872,37061.31692
1.599409361,37063.33872
1.59921085,37065.26484
1.599014617,37067.07837
1.598816106,37068.83032
1.598615317,37070.46431
1.598416806,37071.99344
1.598218296,37073.42724
1.598020699,37074.74068
1.597822189,37075.94639
1.597622763,37077.0368
1.597424252,37077.99629
1.597225741,37078.82417
1.597026782,37079.50885
1.596828271,37080.07897
1.596630208,37080.51457
1.596431697,37080.82907
1.596233187,37081.02847
1.596032864,37081.0933
1.595834353,37081.03584
1.595637654,37080.84904
1.595439143,37080.54555
1.595240632,37080.12297
1.595040214,37079.5695
1.594841703,37078.89437
1.594645099,37078.1086
1.594446588,37077.21701
1.594248078,37076.19222
1.594049567,37075.07282
1.593851056,37073.82252
1.593652545,37072.47255
1.593454034,37070.99996
1.593255523,37069.41838
1.593057012,37067.72199
1.592858501,37065.90583
1.59265999,37063.98225
1.592461479,37061.92953
1.592262969,37059.78459
1.592064458,37057.50065
1.591865947,37055.12438
1.591667436,37052.61943
1.591468925,37050.01698
1.591270414,37047.29559
1.591071903,37044.47675
1.590873392,37041.54199
1.590674881,37038.52301
1.59047637,37035.38886
1.590277859,37032.17464
1.590079349,37028.85965
1.589880838,37025.46918
1.589682327,37021.98879
1.589485865,37018.46314
1.589287355,37014.85396
1.589086794,37011.13253
1.588888283,37007.37812
1.588689772,37003.57303
1.588493309,36999.73965
1.588294798,36995.85985
1.58809424,36991.8817
1.587895729,36987.91492
1.587697218,36983.91546
1.587499391,36979.90883
1.587300881,36975.88618
1.587101685,36971.83479
1.586903174,36967.80251
1.586704663,36963.77203
1.586505474,36959.76317
1.586306963,36955.76961
1.586109131,36951.84173
1.58591062,36947.93499
1.585712109,36944.07526
1.720501011,36425.89868
1.720300725,36426.02259
1.716927815,36426.64897
1.717126326,36426.85553
1.720102214,36426.16953
1.716729304,36426.39698
1.717324837,36427.02929
1.71276117,36413.71189
1.713555201,36417.52912
1.713753712,36418.36503
1.714942706,36422.57159
1.714744195,36421.9621
1.711965043,36409.23383
1.712163553,36410.40399
1.719308061,36426.83309
1.719905479,36426.32901
1.719508457,36426.66809
1.716530793,36426.11452
1.717523348,36427.16429
1.715538239,36424.15936
1.712562659,36412.65092
1.712362064,36411.55279
1.712957597,36414.72088
1.713354619,36416.63255
1.713950152,36419.16332
1.713156108,36415.6996
1.714545684,36421.32398
1.715141217,36423.13426
1.715339728,36423.65936
1.711767253,36408.01454
1.710972488,36402.90068
1.710773335,36401.56281
1.71910955,36426.98997
1.719706968,36426.49922
1.716332282,36425.79608
1.717721859,36427.26042
1.71573675,36424.61873
1.714148662,36419.92584
1.714347173,36420.64084
1.711568742,36406.77647
1.711170999,36404.21058
1.710574824,36400.21781
1.718912924,36427.10726
1.716133771,36425.43849
1.71792037,36427.32209
1.715935261,36425.05058
1.71136951,36405.51067
1.710376955,36398.87191
1.718714413,36427.2109
