Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: Position[Y] (m)
1.840277528,0.225957668
1.840029389,0.225927201
1.839781251,0.225896733
1.839533112,0.225866265
1.839284973,0.225835798
1.839039748,0.225805688
1.83879161,0.22577522
1.838540558,0.225744395
1.838292419,0.225713927
1.83804428,0.22568346
1.837796142,0.225652992
1.837548003,0.225622525
1.837299864,0.225592057
1.837053846,0.22556185
1.836805708,0.225531382
1.836555449,0.225500654
1.83630731,0.225470187
1.836059171,0.225439719
1.835811033,0.225409252
1.835562894,0.225378784
1.835314755,0.225348316
1.835066011,0.225317774
1.834817872,0.225287307
1.83457034,0.225256914
1.834322201,0.225226446
1.834074062,0.225195978
1.833825924,0.225165511
1.833577785,0.225135043
1.833329646,0.225104576
1.833079507,0.225073862
1.832831368,0.225043395
1.83258523,0.225013173
1.832337092,0.224982705
1.832088953,0.224952238
1.831840815,0.22492177
1.831592676,0.224891302
1.831344537,0.224860835
1.831094208,0.224830098
1.83084607,0.224799631
1.830600121,0.224769432
1.830351983,0.224738965
1.830103844,0.224708497
1.829855706,0.224678029
1.829607567,0.224647562
1.829359428,0.224617094
1.82911129,0.224586627
1.828863151,0.224556159
1.828615012,0.224525691
1.828366874,0.224495224
1.828118735,0.224464756
1.827870597,0.224434289
1.827622458,0.224403821
1.827376709,0.224373647
1.82712857,0.224343179
1.826878042,0.224312418
1.826629903,0.224281951
1.826381765,0.224251483
1.826133626,0.224221015
1.825885488,0.224190548
1.825637349,0.22416008
1.82539154,0.224129899
1.825143401,0.224099431
1.824892933,0.224068677
1.824644794,0.22403821
1.824396656,0.224007742
1.824148517,0.223977275
1.823900379,0.223946807
1.82365224,0.22391634
1.823405252,0.223886013
1.823157114,0.223855546
1.822907824,0.223824937
1.822659685,0.223794469
1.822411547,0.223764002
1.822163408,0.223733534
1.82191527,0.223703066
1.821667131,0.223672599
1.821417417,0.223641938
1.821169278,0.22361147
1.820922715,0.223581196
1.820674576,0.223550728
1.820426438,0.223520261
1.820178299,0.223489793
1.81993016,0.223459326
1.819682022,0.223428858
1.819431298,0.223398073
1.81918316,0.223367605
1.818937606,0.223337455
1.818689467,0.223306988
