Region: Body 1.Ramp1: Position[X] (m),Region: Body 1.Ramp1: 1_cellAspectRatio
2.105452731,38.16236733
2.107537184,38.16236787
2.104559394,38.1623668
2.100685598,37.56114496
2.114088323,38.16236787
2.11498166,38.16236787
2.100392666,37.53774968
2.111110532,38.16236787
2.11200387,38.16236787
2.109323858,38.16236787
2.109621637,38.16236787
2.105154952,38.16236787
2.107834963,38.16236787
2.104857173,38.16236787
2.121532799,38.16236787
2.12123502,38.16236573
2.113790544,38.16236573
2.115279439,38.16236787
2.110812753,38.1623668
2.112301649,38.16236733
2.109026079,38.16236787
2.109919416,38.16236787
2.108132742,38.16236787
2.121830578,38.16236787
2.120937241,38.16236787
2.123319473,38.1623668
2.123617252,38.16236787
2.113490404,38.75953763
2.115577218,38.16236787
2.112599428,38.1623676
2.110514974,38.16236787
2.1087283,38.16236572
2.110217195,38.16236787
2.108430521,38.16236787
2.11795945,38.16236733
2.118257229,38.16236787
2.122128357,38.16236787
2.120639462,38.16236787
2.123021694,38.16236787
2.123915031,38.16236787
2.113193323,37.38866405
2.115874997,38.16236787
2.112897905,38.33890335
2.117661671,38.16236787
2.118555008,38.16236733
2.122426136,38.16236787
2.120341683,38.16236787
2.125703087,37.06815069
2.125998012,38.53472986
2.122723915,38.16236787
2.12421281,38.16236733
2.116172776,38.1623668
2.118852788,38.16236787
2.117363892,38.16236787
2.120043904,38.16236787
2.12540678,38.88422525
2.126297264,38.16236573
2.124510589,38.16236787
2.116470555,38.16236787
2.117066113,38.1623668
2.119152342,38.61150225
2.119743308,38.87491105
2.128381717,38.16236787
2.128083938,38.16236787
2.125106147,38.16236787
2.126595043,38.16236787
2.124808368,38.16236733
2.116768334,38.16236787
2.119447304,37.00069168
2.128679496,38.16236787
2.127786159,38.16236787
2.126892822,38.16236787
2.128977275,38.1623668
2.12748838,38.16236787
2.127190601,38.16236787
2.129275054,38.16236787
2.129572833,38.1623668
2.129870612,38.16236787
2.130168391,38.16236787
2.13046617,38.16236733
2.130763949,38.16236787
2.131061728,38.16236733
2.131359507,38.16236787
