x [m],Heat flux [MW/m^2]
1.834982634000000001e-01,5.609636403000000104e-01
1.841667443999999987e-01,5.606757841999999714e-01
1.848352252999999890e-01,5.603893876000000107e-01
1.855037062999999875e-01,5.601042504000000033e-01
1.861721873000000138e-01,5.598204538000000063e-01
1.868406683000000124e-01,5.595377121000000287e-01
1.875091493000000109e-01,5.592560640000000527e-01
1.881776303000000095e-01,5.589754480999999942e-01
1.888461113000000080e-01,5.586959904999999615e-01
1.895145923000000066e-01,5.584174988000000228e-01
1.901830733000000051e-01,5.581401857000000133e-01
1.908515543000000036e-01,5.578638166999999592e-01
1.915200353000000022e-01,5.575885171000000140e-01
1.921885163000000007e-01,5.573140979999999800e-01
1.928570122000000109e-01,5.570405987000000003e-01
1.935254931000000012e-01,5.567679614999999638e-01
1.941939740999999997e-01,5.564962679999999606e-01
1.948624550999999983e-01,5.562255456000000375e-01
1.955309360999999968e-01,5.559558317999999666e-01
1.961994170999999954e-01,5.556871531999999503e-01
1.968678980999999939e-01,5.554195884000000527e-01
1.975363790999999924e-01,5.551531234000000037e-01
1.982048600999999910e-01,5.548877030000000099e-01
1.988733410999999895e-01,5.546233190999999563e-01
1.995418220999999881e-01,5.543599223999999825e-01
2.002103030999999866e-01,5.540975004999999509e-01
2.008787841000000129e-01,5.538359590000000443e-01
2.015472651000000115e-01,5.535754990000000264e-01
2.022157460000000018e-01,5.533160641000000046e-01
2.028842270000000003e-01,5.530578116000000044e-01
2.035527079999999989e-01,5.528006443999999853e-01
2.042211889999999974e-01,5.525445964999999848e-01
2.048896699999999960e-01,5.522895316999999471e-01
2.055581659000000061e-01,5.520355250999999797e-01
2.062266469000000046e-01,5.517824019000000524e-01
2.068951279000000032e-01,5.515302375999999729e-01
2.075636089000000017e-01,5.512788993999999665e-01
2.082320899000000003e-01,5.510284229999999894e-01
2.089005708999999988e-01,5.507787566999999829e-01
2.095690518999999974e-01,5.505300148999999754e-01
2.102375328999999959e-01,5.502821062999999624e-01
2.109060137999999862e-01,5.500351444000000090e-01
2.115744948000000125e-01,5.497891163000000470e-01
2.122429758000000111e-01,5.495440949000000019e-01
2.129114568000000096e-01,5.493000282000000123e-01
2.135799378000000082e-01,5.490569882000000401e-01
2.142484188000000067e-01,5.488148846000000525e-01
2.149168998000000053e-01,5.485738659000000128e-01
2.155853808000000038e-01,5.483338036999999554e-01
2.162538618000000024e-01,5.480949980999999527e-01
2.169223428000000009e-01,5.478570913000000431e-01
2.175908387000000110e-01,5.476211415999999721e-01
2.182593197000000096e-01,5.473845157000000183e-01
2.189278007000000081e-01,5.471486572000000548e-01
2.195962815999999984e-01,5.469153241999999970e-01
2.202647625999999970e-01,5.466819085999999883e-01
2.209332435999999955e-01,5.464487072999999473e-01
2.216017245999999941e-01,5.462160941999999464e-01
2.222702055999999926e-01,5.459839866000000264e-01
2.229386865999999912e-01,5.457523830999999603e-01
2.236071675999999897e-01,5.455212759999999994e-01
2.242756485999999883e-01,5.452908481999999557e-01
2.249441295999999868e-01,5.450610538000000282e-01
2.256126106000000131e-01,5.448321099999999806e-01
2.262810916000000117e-01,5.446040792999999880e-01
2.269495726000000102e-01,5.443770655999999875e-01
2.276180536000000088e-01,5.441508394999999831e-01
2.282865344999999990e-01,5.439253967999999606e-01
2.289550304000000092e-01,5.437003310000000367e-01
2.296235114000000077e-01,5.434754615000000344e-01
2.302919924000000063e-01,5.432504610999999706e-01
2.309604734000000048e-01,5.430253691999999965e-01
2.316289544000000034e-01,5.428002199000000472e-01
2.322974354000000019e-01,5.425753007000000405e-01
2.329659164000000005e-01,5.423509262000000275e-01
2.336343973999999990e-01,5.421277662000000275e-01
2.343028783999999975e-01,5.419057020999999974e-01
2.349713593999999961e-01,5.416865552999999833e-01
2.356398403999999946e-01,5.414652496999999842e-01
2.363083213999999932e-01,5.412563155999999820e-01
2.369768023000000112e-01,5.410412027000000013e-01
2.376452833000000098e-01,5.408300476999999828e-01
2.383137643000000083e-01,5.406226070999999855e-01
2.389822453000000069e-01,5.404157749000000344e-01
2.396507263000000054e-01,5.402150255000000012e-01
2.403192073000000040e-01,5.399989260999999985e-01
2.409876883000000025e-01,5.398402168999999473e-01
2.416561842000000127e-01,5.395485339000000158e-01
2.423246652000000112e-01,5.394155710000000381e-01
2.429931462000000097e-01,5.391908561999999572e-01
2.436616272000000083e-01,5.389793768999999735e-01
2.443301082000000068e-01,5.387704423000000409e-01
2.449985892000000054e-01,5.385608932000000015e-01
2.456670702000000039e-01,5.383510729999999578e-01
2.463355510999999942e-01,5.381403112000000544e-01
2.470040320999999928e-01,5.379317947999999738e-01
2.476725130999999913e-01,5.377248034999999593e-01
2.483409940999999899e-01,5.375172307000000149e-01
2.490094750999999884e-01,5.373116009999999720e-01
2.496779560999999870e-01,5.371075695999999455e-01
2.503464519999999971e-01,5.369047919999999641e-01
2.510149180999999841e-01,5.367029306999999694e-01
2.516834139999999942e-01,5.365025020000000477e-01
2.523518800999999812e-01,5.363015316999999449e-01
2.530203759999999913e-01,5.361015246000000456e-01
2.536888420999999783e-01,5.359039075000000540e-01
2.543573379999999884e-01,5.357055427000000369e-01
2.550258040000000226e-01,5.355076014999999856e-01
2.556942998999999772e-01,5.353093710999999866e-01
2.563627660000000197e-01,5.351132374999999497e-01
2.570312618999999743e-01,5.349181561000000418e-01
2.576997280000000168e-01,5.347219715000000040e-01
2.583682239000000269e-01,5.345268021000000314e-01
2.590367197999999815e-01,5.343323841999999546e-01
2.597051859000000240e-01,5.341386178000000484e-01
2.603736817999999786e-01,5.339454015000000275e-01
2.610421479000000211e-01,5.337528904999999657e-01
2.617106437999999757e-01,5.335607625999999604e-01
2.623791099000000182e-01,5.333700235999999650e-01
2.630476057999999728e-01,5.331779606000000005e-01
2.637160718000000070e-01,5.329872165000000273e-01
2.643845677000000172e-01,5.327989051999999504e-01
2.650530338000000041e-01,5.326094864999999512e-01
2.657215297000000143e-01,5.324197159000000346e-01
2.663899958000000012e-01,5.322315789999999547e-01
2.670584917000000114e-01,5.320445078000000105e-01
2.677269577999999983e-01,5.318568894999999852e-01
2.683954537000000085e-01,5.316700835000000014e-01
2.690639197999999954e-01,5.314839592000000223e-01
2.697324157000000056e-01,5.312984510999999577e-01
2.704008817999999925e-01,5.311133714000000339e-01
2.710693777000000027e-01,5.309289004999999673e-01
2.717378736000000128e-01,5.307448500000000458e-01
2.724063395999999915e-01,5.305612781999999861e-01
2.730748355000000016e-01,5.303782420999999525e-01
2.737433015999999886e-01,5.301957384000000051e-01
2.744117974999999987e-01,5.300138221000000316e-01
2.750802635999999857e-01,5.298320692000000331e-01
2.757487594999999958e-01,5.296511376000000437e-01
2.764172255999999828e-01,5.294715599000000550e-01
2.770857214999999929e-01,5.292908204999999811e-01
2.777541875999999799e-01,5.291117839000000211e-01
2.784226834999999900e-01,5.289337258999999847e-01
2.790911495999999770e-01,5.287545674000000417e-01
2.797596454999999871e-01,5.285759692999999482e-01
2.804281115999999741e-01,5.283978690999999728e-01
2.810966073999999759e-01,5.282200870000000048e-01
2.817650735000000184e-01,5.280427968999999999e-01
2.824335693999999730e-01,5.278658777000000413e-01
2.831020355000000155e-01,5.276895020999999852e-01
2.837705314000000256e-01,5.275136662999999615e-01
2.844390272999999802e-01,5.273385412000000105e-01
2.851074934000000227e-01,5.271640051999999521e-01
2.857759892999999773e-01,5.269899965000000019e-01
2.864444554000000198e-01,5.268172038999999751e-01
2.871129512999999744e-01,5.266436622000000289e-01
2.877814174000000169e-01,5.264713285000000020e-01
2.884499133000000270e-01,5.263012829000000004e-01
2.891183794000000140e-01,5.261296233000000155e-01
2.897868752000000159e-01,5.259600102000000499e-01
2.904553413000000028e-01,5.257915760000000382e-01
2.911238372000000130e-01,5.256218718999999817e-01
2.917923032999999999e-01,5.254535116999999866e-01
2.924607992000000101e-01,5.252838306999999540e-01
2.931292652999999970e-01,5.251147543999999945e-01
2.937977612000000072e-01,5.249477410999999760e-01
2.944662272999999941e-01,5.247783435999999746e-01
2.951347232000000043e-01,5.246109452999999645e-01
2.958032191000000144e-01,5.244452532000000167e-01
2.964716852000000014e-01,5.242793608000000383e-01
2.971401811000000115e-01,5.241156607000000411e-01
2.978086471999999985e-01,5.239539161999999806e-01
2.984771430000000003e-01,5.237939482000000258e-01
2.991456090999999873e-01,5.236353579000000424e-01
2.998141049999999974e-01,5.234776952999999899e-01
3.004825710999999844e-01,5.233201291000000310e-01
3.011510669999999945e-01,5.231621104000000466e-01
3.018195330999999815e-01,5.230033681000000323e-01
3.024880289999999916e-01,5.228411756999999938e-01
3.031564950999999786e-01,5.226790987999999638e-01
3.038249909999999887e-01,5.225158318000000524e-01
3.044934570999999757e-01,5.223492657999999622e-01
3.051619529999999858e-01,5.221824548000000288e-01
3.058304190999999728e-01,5.220158325999999516e-01
3.064989149999999829e-01,5.218494522000000080e-01
3.071673810000000171e-01,5.216838497000000352e-01
3.078358769000000272e-01,5.215193422999999662e-01
3.085043727999999819e-01,5.213561366000000197e-01
3.091728389000000243e-01,5.211942783999999884e-01
3.098413347999999790e-01,5.210337053000000385e-01
3.105098009000000214e-01,5.208740896000000342e-01
3.111782967999999761e-01,5.207160090000000352e-01
3.118467629000000185e-01,5.205568049000000030e-01
3.125152587999999731e-01,5.203996565999999824e-01
3.131837249000000156e-01,5.202445505999999664e-01
3.138522208000000258e-01,5.200882102999999645e-01
3.145206869000000127e-01,5.199318515999999946e-01
3.151891828000000229e-01,5.197765756000000126e-01
3.158576488000000015e-01,5.196215900999999748e-01
3.165261447000000117e-01,5.194681993999999969e-01
3.171946107999999986e-01,5.193152468999999716e-01
3.178631067000000088e-01,5.191611702999999745e-01
3.185315727999999957e-01,5.190079991999999587e-01
3.192000687000000059e-01,5.188554700999999936e-01
3.198685646000000160e-01,5.187033204000000008e-01
3.205370307000000030e-01,5.185518051999999933e-01
3.212055266000000131e-01,5.184008687000000171e-01
3.218739927000000001e-01,5.182505595999999937e-01
3.225424886000000102e-01,5.180999514999999889e-01
3.232109546999999972e-01,5.179509378000000108e-01
3.238794506000000073e-01,5.178039160999999835e-01
3.245479166999999943e-01,5.176556168000000513e-01
3.252164124999999961e-01,5.175074190999999768e-01
3.258848785999999831e-01,5.173597786000000420e-01
3.265533744999999932e-01,5.172117805000000512e-01
3.272218405999999802e-01,5.170636303000000211e-01
3.278903364999999903e-01,5.169154290999999901e-01
3.285588025999999773e-01,5.167665232000000497e-01
3.292272984999999874e-01,5.166170168000000507e-01
3.298957645999999744e-01,5.164674658000000251e-01
3.305642604999999845e-01,5.163183697000000016e-01
3.312327266000000270e-01,5.161700750000000060e-01
3.319012224999999816e-01,5.160208334000000452e-01
3.325697183999999917e-01,5.158744284999999818e-01
3.332381844999999787e-01,5.157295532000000238e-01
3.339066802999999806e-01,5.155836742999999611e-01
3.345751464000000230e-01,5.154398098000000372e-01
3.352436422999999777e-01,5.152973577999999666e-01
