x [m],Heat flux [MW/m^2]
1.774819195000000016e-01,6.038437899999999914e-01
1.781504005000000002e-01,6.034791847999999570e-01
1.788188814999999987e-01,6.031157276999999928e-01
1.794873624999999973e-01,6.027537879000000043e-01
1.801558434999999958e-01,6.023931973999999689e-01
1.808243394000000059e-01,6.020339546999999847e-01
1.814928204000000045e-01,6.016758948000000551e-01
1.821613014000000030e-01,6.013189275000000444e-01
1.828297824000000016e-01,6.009630726000000367e-01
1.834982634000000001e-01,6.006086464000000014e-01
1.841667443999999987e-01,6.002564726000000350e-01
1.848352252999999890e-01,5.999076572999999524e-01
1.855037062999999875e-01,5.995629973999999640e-01
1.861721873000000138e-01,5.992223722999999724e-01
1.868406683000000124e-01,5.988847974000000018e-01
1.875091493000000109e-01,5.985487543999999938e-01
1.881776303000000095e-01,5.982129851999999914e-01
1.888461113000000080e-01,5.978770181000000461e-01
1.895145923000000066e-01,5.975408863000000181e-01
1.901830733000000051e-01,5.972049080000000343e-01
1.908515543000000036e-01,5.968698919999999575e-01
1.915200353000000022e-01,5.965362714999999927e-01
1.921885163000000007e-01,5.962037622000000425e-01
1.928570122000000109e-01,5.958725356999999834e-01
1.935254931000000012e-01,5.955423963000000542e-01
1.941939740999999997e-01,5.952121103999999940e-01
1.948624550999999983e-01,5.948838728999999992e-01
1.955309360999999968e-01,5.945569558000000088e-01
1.961994170999999954e-01,5.942298183999999983e-01
1.968678980999999939e-01,5.939055376999999858e-01
1.975363790999999924e-01,5.935847065999999561e-01
1.982048600999999910e-01,5.932674514000000343e-01
1.988733410999999895e-01,5.929533260999999555e-01
1.995418220999999881e-01,5.926412694999999564e-01
2.002103030999999866e-01,5.923298111000000477e-01
2.008787841000000129e-01,5.920178701999999626e-01
2.015472651000000115e-01,5.917053393000000217e-01
2.022157460000000018e-01,5.913921728000000044e-01
2.028842270000000003e-01,5.910792019999999702e-01
2.035527079999999989e-01,5.907664956000000522e-01
2.042211889999999974e-01,5.904555583999999691e-01
2.048896699999999960e-01,5.901440642999999930e-01
2.055581659000000061e-01,5.898343600000000020e-01
2.062266469000000046e-01,5.895287017000000462e-01
2.068951279000000032e-01,5.892243846000000396e-01
2.075636089000000017e-01,5.889223412999999852e-01
2.082320899000000003e-01,5.886231149999999746e-01
2.089005708999999988e-01,5.883264713000000423e-01
2.095690518999999974e-01,5.880323161999999604e-01
2.102375328999999959e-01,5.877403412999999688e-01
2.109060137999999862e-01,5.874506529999999893e-01
2.115744948000000125e-01,5.871630249000000523e-01
2.122429758000000111e-01,5.868768628999999626e-01
2.129114568000000096e-01,5.865912514000000133e-01
2.135799378000000082e-01,5.863050726999999851e-01
2.142484188000000067e-01,5.860176673000000447e-01
2.149168998000000053e-01,5.857290557000000009e-01
2.155853808000000038e-01,5.854395466999999798e-01
2.162538618000000024e-01,5.851499982000000211e-01
2.169223428000000009e-01,5.848610871999999627e-01
2.175908387000000110e-01,5.845734242000000247e-01
2.182593197000000096e-01,5.842871025000000440e-01
2.189278007000000081e-01,5.840021939999999745e-01
2.195962815999999984e-01,5.837184139000000105e-01
2.202647625999999970e-01,5.834357228000000006e-01
2.209332435999999955e-01,5.831539528000000416e-01
2.216017245999999941e-01,5.828730667999999504e-01
2.222702055999999926e-01,5.825930111999999550e-01
2.229386865999999912e-01,5.823137497999999468e-01
2.236071675999999897e-01,5.820351193999999673e-01
2.242756485999999883e-01,5.817571593999999457e-01
2.249441295999999868e-01,5.814801495000000431e-01
2.256126106000000131e-01,5.812046753999999815e-01
2.262810916000000117e-01,5.809312629999999755e-01
2.269495726000000102e-01,5.806605210999999933e-01
2.276180536000000088e-01,5.803923817999999679e-01
2.282865344999999990e-01,5.801264682000000228e-01
2.289550304000000092e-01,5.798617788000000051e-01
2.296235114000000077e-01,5.795973748999999620e-01
2.302919924000000063e-01,5.793324573999999449e-01
2.309604734000000048e-01,5.790668233000000331e-01
2.316289544000000034e-01,5.788006856999999838e-01
2.322974354000000019e-01,5.785350875000000448e-01
2.329659164000000005e-01,5.782704425000000370e-01
2.336343973999999990e-01,5.780097202999999739e-01
2.343028783999999975e-01,5.777470617000000086e-01
2.349713593999999961e-01,5.774993684000000460e-01
2.356398403999999946e-01,5.772476422000000218e-01
2.363083213999999932e-01,5.770013295000000486e-01
2.369768023000000112e-01,5.767573095000000372e-01
2.376452833000000098e-01,5.765168908000000147e-01
2.383137643000000083e-01,5.762727211000000516e-01
2.389822453000000069e-01,5.760341385999999675e-01
2.396507263000000054e-01,5.757707855000000485e-01
2.403192073000000040e-01,5.755695470999999674e-01
2.409876883000000025e-01,5.752160668000000365e-01
2.416561842000000127e-01,5.750427424999999815e-01
2.423246652000000112e-01,5.747627319000000456e-01
2.429931462000000097e-01,5.745000758999999624e-01
2.436616272000000083e-01,5.742422825999999869e-01
2.443301082000000068e-01,5.739864780000000222e-01
2.449985892000000054e-01,5.737356071000000446e-01
2.456670702000000039e-01,5.734887615999999522e-01
2.463355510999999942e-01,5.732422798999999847e-01
2.470040320999999928e-01,5.729980386999999897e-01
2.476725130999999913e-01,5.727550126999999547e-01
2.483409940999999899e-01,5.725131317999999636e-01
2.490094750999999884e-01,5.722707217000000401e-01
2.496779560999999870e-01,5.720299765999999897e-01
2.503464519999999971e-01,5.717910093000000415e-01
2.510149180999999841e-01,5.715513757000000306e-01
2.516834139999999942e-01,5.713129136000000274e-01
2.523518800999999812e-01,5.710756851999999606e-01
2.530203759999999913e-01,5.708396092999999949e-01
2.536888420999999783e-01,5.706031194999999778e-01
2.543573379999999884e-01,5.703691721000000436e-01
2.550258040000000226e-01,5.701368046000000467e-01
2.556942998999999772e-01,5.699020036999999927e-01
2.563627660000000197e-01,5.696667807999999944e-01
2.570312618999999743e-01,5.694298883999999727e-01
2.576997280000000168e-01,5.691907331000000125e-01
2.583682239000000269e-01,5.689489778999999858e-01
2.590367197999999815e-01,5.687055014999999880e-01
2.597051859000000240e-01,5.684603226000000120e-01
2.603736817999999786e-01,5.682169392999999458e-01
2.610421479000000211e-01,5.679781918999999846e-01
2.617106437999999757e-01,5.677430923999999823e-01
2.623791099000000182e-01,5.675134444999999639e-01
2.630476057999999728e-01,5.672901436999999714e-01
2.637160718000000070e-01,5.670703900000000353e-01
2.643845677000000172e-01,5.668562138999999611e-01
2.650530338000000041e-01,5.666453001000000267e-01
2.657215297000000143e-01,5.664329650999999632e-01
2.663899958000000012e-01,5.662203260999999488e-01
2.670584917000000114e-01,5.660065240999999636e-01
2.677269577999999983e-01,5.657912591999999519e-01
2.683954537000000085e-01,5.655748551000000512e-01
2.690639197999999954e-01,5.653577403999999751e-01
2.697324157000000056e-01,5.651402929000000075e-01
2.704008817999999925e-01,5.649231260000000532e-01
2.710693777000000027e-01,5.647054500999999505e-01
2.717378736000000128e-01,5.644893268999999769e-01
2.724063395999999915e-01,5.642741431000000141e-01
2.730748355000000016e-01,5.640575923999999741e-01
2.737433015999999886e-01,5.638416813000000083e-01
2.744117974999999987e-01,5.636243486999999996e-01
2.750802635999999857e-01,5.634080124000000467e-01
2.757487594999999958e-01,5.631927249000000524e-01
2.764172255999999828e-01,5.629765103999999631e-01
2.770857214999999929e-01,5.627613943999999480e-01
2.777541875999999799e-01,5.625476113999999805e-01
2.784226834999999900e-01,5.623352702999999675e-01
2.790911495999999770e-01,5.621243651999999758e-01
2.797596454999999871e-01,5.619145818999999875e-01
2.804281115999999741e-01,5.617057398000000479e-01
2.810966073999999759e-01,5.614975384000000513e-01
2.817650735000000184e-01,5.612898011000000409e-01
2.824335693999999730e-01,5.610822239999999628e-01
2.831020355000000155e-01,5.608735258999999473e-01
2.837705314000000256e-01,5.606664516999999570e-01
2.844390272999999802e-01,5.604608775999999626e-01
2.851074934000000227e-01,5.602548146000000395e-01
2.857759892999999773e-01,5.600516237999999536e-01
2.864444554000000198e-01,5.598495543999999491e-01
2.871129512999999744e-01,5.596522283999999514e-01
2.877814174000000169e-01,5.594596624000000018e-01
2.884499133000000270e-01,5.592687909000000346e-01
2.891183794000000140e-01,5.590791451000000079e-01
2.897868752000000159e-01,5.588914042999999499e-01
2.904553413000000028e-01,5.587038981999999931e-01
2.911238372000000130e-01,5.585147556999999763e-01
2.917923032999999999e-01,5.583232518999999838e-01
2.924607992000000101e-01,5.581278811000000006e-01
2.931292652999999970e-01,5.579293389999999686e-01
2.937977612000000072e-01,5.577281007000000068e-01
2.944662272999999941e-01,5.575245213999999727e-01
2.951347232000000043e-01,5.573199642999999703e-01
2.958032191000000144e-01,5.571133673999999480e-01
2.964716852000000014e-01,5.569084825000000238e-01
2.971401811000000115e-01,5.567060766000000438e-01
2.978086471999999985e-01,5.565034175999999944e-01
2.984771430000000003e-01,5.563033239000000352e-01
2.991456090999999873e-01,5.561032405000000400e-01
2.998141049999999974e-01,5.559067501000000133e-01
3.004825710999999844e-01,5.557130070000000366e-01
3.011510669999999945e-01,5.555180905000000058e-01
3.018195330999999815e-01,5.553248587000000347e-01
3.024880289999999916e-01,5.551328633000000012e-01
3.031564950999999786e-01,5.549423719999999616e-01
3.038249909999999887e-01,5.547529876000000248e-01
3.044934570999999757e-01,5.545649232999999567e-01
3.051619529999999858e-01,5.543779535999999730e-01
3.058304190999999728e-01,5.541920744999999648e-01
3.064989149999999829e-01,5.540068953000000240e-01
3.071673810000000171e-01,5.538221993999999926e-01
3.078358769000000272e-01,5.536373394000000392e-01
3.085043727999999819e-01,5.534524800000000244e-01
3.091728389000000243e-01,5.532678827000000465e-01
3.098413347999999790e-01,5.530829084999999701e-01
3.105098009000000214e-01,5.528972408000000227e-01
3.111782967999999761e-01,5.527112053999999608e-01
3.118467629000000185e-01,5.525251697999999934e-01
3.125152587999999731e-01,5.523373921999999991e-01
3.131837249000000156e-01,5.521508938000000422e-01
3.138522208000000258e-01,5.519650818000000347e-01
3.145206869000000127e-01,5.517778530000000403e-01
3.151891828000000229e-01,5.515919427000000042e-01
3.158576488000000015e-01,5.514079728999999874e-01
