x (mm),P (Pa)
559.487,2073.09
560.15,2073.08
560.813,2073.06
561.475,2073.04
562.138,2073.03
562.8,2073.01
563.463,2072.99
564.125,2072.98
564.788,2072.96
565.451,2072.95
566.113,2072.93
566.776,2072.91
567.438,2072.9
568.101,2072.88
568.764,2072.87
569.426,2072.85
570.089,2072.84
570.751,2072.83
571.414,2072.81
572.076,2072.8
572.739,2072.78
573.402,2072.77
574.064,2072.76
574.727,2072.75
575.389,2072.73
576.052,2072.72
576.715,2072.71
577.377,2072.7
578.04,2072.68
578.702,2072.67
579.365,2072.66
580.028,2072.65
580.69,2072.63
581.353,2072.62
582.015,2072.61
582.678,2072.6
583.34,2072.58
584.003,2072.57
584.666,2072.55
585.328,2072.54
585.991,2072.53
586.653,2072.51
587.316,2072.5
587.979,2072.48
588.641,2072.47
589.304,2072.45
589.966,2072.44
590.629,2072.42
591.291,2072.41
591.954,2072.39
592.617,2072.38
593.279,2072.36
593.942,2072.35
594.604,2072.34
595.267,2072.32
595.93,2072.31
596.592,2072.3
597.255,2072.28
597.917,2072.27
598.58,2072.26
599.243,2072.24
599.905,2072.23
600.568,2072.22
601.23,2072.21
601.893,2072.19
602.555,2072.18
603.218,2072.17
603.881,2072.15
604.543,2072.14
605.206,2072.13
605.868,2072.11
606.531,2072.1
607.194,2072.08
607.856,2072.07
608.519,2072.06
609.181,2072.04
609.844,2072.03
610.506,2072.02
611.169,2072.01
611.832,2071.99
612.494,2071.98
613.157,2071.97
613.819,2071.96
614.482,2071.94
615.145,2071.93
615.807,2071.92
616.47,2071.9
617.132,2071.89
617.795,2071.88
618.458,2071.86
619.12,2071.85
619.783,2071.84
620.445,2071.82
621.108,2071.81
621.77,2071.8
622.433,2071.78
623.096,2071.77
623.758,2071.76
624.421,2071.74
625.083,2071.73
625.746,2071.72
626.409,2071.7
627.071,2071.69
627.734,2071.68
628.396,2071.66
629.059,2071.65
629.722,2071.64
630.384,2071.62
631.047,2071.61
631.709,2071.6
632.372,2071.58
633.034,2071.57
633.697,2071.56
634.36,2071.55
635.022,2071.53
635.685,2071.52
636.347,2071.51
637.01,2071.5
637.673,2071.49
638.335,2071.47
638.998,2071.46
639.66,2071.44
640.323,2071.43
640.985,2071.42
641.648,2071.41
642.311,2071.39
642.973,2071.38
643.636,2071.37
644.298,2071.35
644.961,2071.34
645.624,2071.33
646.286,2071.32
646.949,2071.3
647.611,2071.29
648.274,2071.28
648.937,2071.27
649.599,2071.26
650.262,2071.24
650.924,2071.23
651.587,2071.22
652.249,2071.2
652.912,2071.19
653.575,2071.18
654.237,2071.17
654.9,2071.16
655.562,2071.15
656.225,2071.13
656.888,2071.12
657.55,2071.11
658.213,2071.1
658.875,2071.09
659.538,2071.07
660.2,2071.06
660.863,2071.05
661.526,2071.04
662.188,2071.03
662.851,2071.01
663.513,2071
664.176,2070.99
664.839,2070.97
665.501,2070.96
666.164,2070.95
666.826,2070.94
667.489,2070.92
668.151,2070.91
668.814,2070.9
669.477,2070.88
670.139,2070.87
670.802,2070.86
671.464,2070.85
672.127,2070.83
672.79,2070.82
673.452,2070.81
674.115,2070.8
674.777,2070.78
675.44,2070.77
676.103,2070.76
676.765,2070.75
677.428,2070.74
678.09,2070.73
678.753,2070.71
679.415,2070.7
680.078,2070.69
680.741,2070.68
681.403,2070.67
682.066,2070.65
682.728,2070.64
683.391,2070.63
684.054,2070.62
684.716,2070.61
685.379,2070.6
686.041,2070.58
686.704,2070.57
687.366,2070.56
688.029,2070.54
688.692,2070.53
689.354,2070.52
690.017,2070.51
690.679,2070.5
691.342,2070.49
692.005,2070.47
692.667,2070.46
693.33,2070.45
693.992,2070.44
694.655,2070.43
695.318,2070.42
695.98,2070.41
696.643,2070.4
697.305,2070.38
697.968,2070.37
698.63,2070.36
699.293,2070.35
699.956,2070.34
700.618,2070.32
701.281,2070.31
701.943,2070.3
702.606,2070.29
703.269,2070.28
703.931,2070.26
704.594,2070.25
705.256,2070.24
705.919,2070.23
706.581,2070.21
707.244,2070.2
707.907,2070.19
708.569,2070.18
709.232,2070.17
709.894,2070.15
710.557,2070.14
711.22,2070.13
711.882,2070.12
712.545,2070.1
713.207,2070.09
713.87,2070.08
714.533,2070.07
715.195,2070.06
715.858,2070.05
716.52,2070.04
717.183,2070.03
717.845,2070.02
718.508,2070.01
719.171,2070
719.833,2069.99
720.496,2069.98
721.158,2069.96
721.821,2069.95
722.484,2069.95
723.146,2069.94
723.809,2069.92
724.471,2069.91
725.134,2069.9
725.797,2069.89
726.459,2069.88
727.122,2069.87
727.784,2069.86
728.447,2069.85
729.109,2069.84
729.772,2069.83
730.435,2069.81
731.097,2069.8
731.76,2069.79
732.422,2069.78
733.085,2069.77
733.748,2069.76
734.41,2069.75
735.073,2069.73
735.735,2069.72
736.398,2069.71
737.06,2069.69
737.723,2069.68
738.386,2069.67
739.048,2069.66
739.711,2069.64
740.373,2069.63
741.036,2069.62
741.699,2069.61
742.361,2069.6
743.024,2069.58
743.686,2069.57
744.349,2069.56
745.012,2069.55
745.674,2069.54
746.337,2069.53
746.999,2069.51
747.662,2069.5
748.324,2069.49
748.987,2069.48
749.65,2069.47
750.312,2069.46
750.975,2069.45
751.637,2069.44
752.3,2069.43
752.963,2069.42
753.625,2069.41
754.288,2069.39
754.95,2069.38
755.613,2069.37
756.275,2069.36
756.938,2069.35
757.601,2069.34
758.263,2069.33
758.926,2069.32
759.588,2069.31
760.251,2069.3
760.914,2069.29
761.576,2069.28
762.239,2069.27
762.901,2069.26
763.564,2069.25
764.226,2069.24
764.889,2069.23
765.552,2069.22
766.214,2069.2
766.877,2069.19
767.539,2069.18
768.202,2069.17
768.865,2069.16
769.527,2069.15
770.19,2069.14
770.852,2069.13
771.515,2069.13
772.178,2069.11
772.84,2069.1
773.503,2069.1
774.165,2069.09
774.828,2069.08
775.49,2069.07
776.153,2069.05
776.816,2069.04
777.478,2069.03
778.141,2069.02
778.803,2069.01
779.466,2069
780.129,2068.99
780.791,2068.98
781.454,2068.97
782.116,2068.96
782.779,2068.95
783.441,2068.94
784.104,2068.93
784.767,2068.91
785.429,2068.9
786.092,2068.89
786.754,2068.88
787.417,2068.87
788.08,2068.85
788.742,2068.84
789.405,2068.83
790.067,2068.82
790.73,2068.81
791.393,2068.8
792.055,2068.78
792.718,2068.77
793.38,2068.76
794.043,2068.75
794.705,2068.74
795.368,2068.73
796.031,2068.72
796.693,2068.71
797.356,2068.69
798.018,2068.68
798.681,2068.67
799.344,2068.66
800.006,2068.65
800.669,2068.64
801.331,2068.63
801.994,2068.62
802.657,2068.61
803.319,2068.6
803.982,2068.59
804.644,2068.58
805.307,2068.58
805.969,2068.57
806.632,2068.56
806.632,2068.56
807.295,2068.55
807.957,2068.54
808.62,2068.53
809.282,2068.52
809.945,2068.51
810.608,2068.5
811.27,2068.49
811.933,2068.48
812.595,2068.47
813.258,2068.46
813.92,2068.45
814.583,2068.44
815.246,2068.43
815.908,2068.42
816.571,2068.41
817.233,2068.4
817.896,2068.39
818.559,2068.38
819.221,2068.37
819.884,2068.36
820.546,2068.35
821.209,2068.34
821.872,2068.33
822.534,2068.32
823.197,2068.31
823.859,2068.3
824.522,2068.29
825.184,2068.27
825.847,2068.26
826.51,2068.25
827.172,2068.24
827.835,2068.23
828.497,2068.23
829.16,2068.22
829.823,2068.21
830.485,2068.2
831.148,2068.19
831.81,2068.18
832.473,2068.17
833.135,2068.15
833.798,2068.14
834.461,2068.14
835.123,2068.12
835.786,2068.11
836.448,2068.1
837.111,2068.09
837.774,2068.08
838.436,2068.08
839.099,2068.07
839.761,2068.06
840.424,2068.05
841.087,2068.04
841.749,2068.03
842.412,2068.02
843.074,2068.01
843.737,2068
844.399,2067.99
845.062,2067.98
845.725,2067.97
846.387,2067.96
847.05,2067.95
847.712,2067.94
848.375,2067.93
849.038,2067.92
849.7,2067.91
850.363,2067.9
851.025,2067.89
851.688,2067.88
852.35,2067.87
853.013,2067.86
853.676,2067.85
854.338,2067.84
855.001,2067.83
855.663,2067.82
856.326,2067.81
856.989,2067.8
857.651,2067.79
858.314,2067.78
858.976,2067.77
859.639,2067.76
860.301,2067.75
860.964,2067.74
861.627,2067.73
862.289,2067.72
862.952,2067.71
863.614,2067.7
864.277,2067.69
864.94,2067.68
865.602,2067.67
866.265,2067.67
866.927,2067.66
867.59,2067.65
868.253,2067.64
868.915,2067.63
869.578,2067.62
870.24,2067.61
870.903,2067.6
871.565,2067.59
872.228,2067.58
872.891,2067.57
