x (mm),Q (W/m2)
613.157,97608.7
613.819,97592.2
614.482,97575.6
615.145,97559.1
615.807,97542.6
616.47,97526.1
617.132,97509.6
617.795,97493.1
618.458,97476.6
619.12,97460.1
619.783,97443.6
620.445,97427.1
621.108,97410.6
621.77,97394.2
622.433,97377.7
623.096,97361.3
623.758,97344.9
624.421,97328.6
625.083,97312.3
625.746,97295.9
626.409,97279.7
627.071,97263.4
627.734,97247.2
628.396,97231
629.059,97214.8
629.722,97198.6
630.384,97182.5
631.047,97166.4
631.709,97150.3
632.372,97134.2
633.034,97118.2
633.697,97102.2
634.36,97086.2
635.022,97070.2
635.685,97054.2
636.347,97038.3
637.01,97022.4
637.673,97006.5
638.335,96990.6
638.998,96974.8
639.66,96959
640.323,96943.2
640.985,96927.4
641.648,96911.6
642.311,96895.9
642.973,96880.2
643.636,96864.5
644.298,96848.8
644.961,96833.2
645.624,96817.5
646.286,96801.9
646.949,96786.2
647.611,96770.6
648.274,96755
648.937,96739.5
649.599,96723.9
650.262,96708.4
650.924,96692.8
651.587,96677.3
652.249,96661.8
652.912,96646.4
653.575,96630.9
654.237,96615.5
654.9,96600.1
655.562,96584.7
656.225,96569.3
656.888,96553.9
657.55,96538.6
658.213,96523.2
658.875,96507.9
659.538,96492.6
660.2,96477.3
660.863,96462
661.526,96446.7
662.188,96431.5
662.851,96416.3
663.513,96401
664.176,96385.8
664.839,96370.7
665.501,96355.5
666.164,96340.4
666.826,96325.3
667.489,96310.3
668.151,96295.2
668.814,96280.2
669.477,96265.2
670.139,96250.2
670.802,96235.3
671.464,96220.3
672.127,96205.4
672.79,96190.5
673.452,96175.6
674.115,96160.8
674.777,96145.9
675.44,96131.1
676.103,96116.3
676.765,96101.5
677.428,96086.7
678.09,96071.9
678.753,96057.1
679.415,96042.4
680.078,96027.7
680.741,96013
681.403,95998.3
682.066,95983.7
682.728,95969
683.391,95954.4
684.054,95939.8
684.716,95925.1
685.379,95910.5
686.041,95896
686.704,95881.4
687.366,95866.8
688.029,95852.2
688.692,95837.6
689.354,95823
690.017,95808.5
690.679,95793.9
691.342,95779.3
692.005,95764.8
692.667,95750.3
693.33,95735.8
693.992,95721.3
694.655,95706.8
695.318,95692.4
695.98,95678
696.643,95663.6
697.305,95649.3
697.968,95635
698.63,95620.8
699.293,95606.5
699.956,95592.4
700.618,95578.2
701.281,95564.1
701.943,95550
702.606,95535.9
703.269,95521.8
703.931,95507.8
704.594,95493.7
705.256,95479.7
705.919,95465.6
706.581,95451.6
707.244,95437.5
707.907,95423.4
708.569,95409.4
709.232,95395.3
709.894,95381.2
710.557,95367.1
711.22,95353
711.882,95338.9
712.545,95324.8
713.207,95310.7
713.87,95296.6
714.533,95282.6
715.195,95268.5
715.858,95254.5
716.52,95240.5
717.183,95226.5
717.845,95212.6
718.508,95198.7
719.171,95184.8
719.833,95171
720.496,95157.2
721.158,95143.5
721.821,95129.8
722.484,95116.1
723.146,95102.5
723.809,95088.9
724.471,95075.3
725.134,95061.8
725.797,95048.3
726.459,95034.8
727.122,95021.3
727.784,95007.9
728.447,94994.4
729.109,94981
729.772,94967.6
730.435,94954.2
731.097,94940.8
731.76,94927.4
732.422,94914
733.085,94900.6
733.748,94887.2
734.41,94873.8
735.073,94860.4
735.735,94847
736.398,94833.6
737.06,94820.2
737.723,94806.8
738.386,94793.4
739.048,94779.9
739.711,94766.5
740.373,94753.1
741.036,94739.6
741.699,94726.2
742.361,94712.8
743.024,94699.4
743.686,94686
744.349,94672.6
745.012,94659.2
745.674,94645.9
746.337,94632.5
746.999,94619.2
747.662,94605.9
748.324,94592.5
748.987,94579.3
749.65,94566
750.312,94552.8
750.975,94539.6
751.637,94526.4
752.3,94513.2
752.963,94500.1
753.625,94486.9
754.288,94473.8
754.95,94460.7
755.613,94447.7
756.275,94434.6
756.938,94421.6
757.601,94408.6
758.263,94395.6
758.926,94382.6
759.588,94369.7
760.251,94356.7
760.914,94343.8
761.576,94330.9
762.239,94318
762.901,94305.2
763.564,94292.3
764.226,94279.5
764.889,94266.7
765.552,94253.9
766.214,94241.1
766.877,94228.3
767.539,94215.6
768.202,94202.8
768.865,94190.1
769.527,94177.4
770.19,94164.7
770.852,94152
771.515,94139.4
772.178,94126.7
772.84,94114.1
773.503,94101.4
774.165,94088.8
774.828,94076.2
775.49,94063.7
776.153,94051.1
776.816,94038.5
777.478,94026
778.141,94013.5
778.803,94001
779.466,93988.5
780.129,93976
780.791,93963.5
781.454,93951.1
782.116,93938.6
782.779,93926.2
783.441,93913.8
784.104,93901.4
784.767,93889
785.429,93876.7
786.092,93864.3
786.754,93852
787.417,93839.6
788.08,93827.3
788.742,93815
789.405,93802.7
790.067,93790.3
790.73,93778
791.393,93765.7
