x (mm),P (Pa)
759.588,2075.8
760.251,2075.79
760.914,2075.77
761.576,2075.76
762.239,2075.76
762.901,2075.74
763.564,2075.73
764.226,2075.72
764.889,2075.7
765.552,2075.68
766.214,2075.67
766.877,2075.67
767.539,2075.66
768.202,2075.64
768.865,2075.63
769.527,2075.62
770.19,2075.61
770.852,2075.59
771.515,2075.59
772.178,2075.57
772.84,2075.56
773.503,2075.55
774.165,2075.54
774.828,2075.53
775.49,2075.52
776.153,2075.5
776.816,2075.48
777.478,2075.47
778.141,2075.47
778.803,2075.46
779.466,2075.45
780.129,2075.45
780.791,2075.46
781.454,2075.44
782.116,2075.42
782.779,2075.41
783.441,2075.39
784.104,2075.38
784.767,2075.37
785.429,2075.35
786.092,2075.34
786.754,2075.33
787.417,2075.32
788.08,2075.3
788.742,2075.28
789.405,2075.28
790.067,2075.27
790.73,2075.25
791.393,2075.24
792.055,2075.24
792.718,2075.22
793.38,2075.21
794.043,2075.2
794.705,2075.18
795.368,2075.17
796.031,2075.16
796.693,2075.14
797.356,2075.13
798.018,2075.13
798.681,2075.11
799.344,2075.09
800.006,2075.07
800.669,2075.07
801.331,2075.06
801.994,2075.04
802.657,2075.03
803.319,2075.02
803.982,2075.02
804.644,2075.02
805.307,2075.02
805.969,2074.99
806.632,2074.97
807.295,2074.96
807.957,2074.94
808.62,2074.93
809.282,2074.92
809.945,2074.9
810.608,2074.89
811.27,2074.87
811.933,2074.87
812.595,2074.86
813.258,2074.85
813.92,2074.84
814.583,2074.83
815.246,2074.81
815.908,2074.81
816.571,2074.8
817.233,2074.78
817.896,2074.78
818.559,2074.77
819.221,2074.76
819.884,2074.75
820.546,2074.74
821.209,2074.73
821.872,2074.71
822.534,2074.7
823.197,2074.69
823.859,2074.69
824.522,2074.68
825.184,2074.67
825.847,2074.66
826.51,2074.64
827.172,2074.63
827.835,2074.64
828.497,2074.64
829.16,2074.63
829.823,2074.61
830.485,2074.58
831.148,2074.57
831.81,2074.56
832.473,2074.54
833.135,2074.53
833.798,2074.52
834.461,2074.5
835.123,2074.49
835.786,2074.47
836.448,2074.47
837.111,2074.46
837.774,2074.45
838.436,2074.44
839.099,2074.43
839.761,2074.41
840.424,2074.41
841.087,2074.4
841.749,2074.38
842.412,2074.37
843.074,2074.37
843.737,2074.35
844.399,2074.34
845.062,2074.34
845.725,2074.32
846.387,2074.3
847.05,2074.29
847.712,2074.29
848.375,2074.28
849.038,2074.27
849.7,2074.26
850.363,2074.25
851.025,2074.23
851.688,2074.23
852.35,2074.24
853.013,2074.23
853.676,2074.21
854.338,2074.2
855.001,2074.18
855.663,2074.17
856.326,2074.16
856.989,2074.14
857.651,2074.13
858.314,2074.11
858.976,2074.11
859.639,2074.11
860.301,2074.09
860.964,2074.08
861.627,2074.07
862.289,2074.06
862.952,2074.05
863.614,2074.04
864.277,2074.03
864.94,2074.02
865.602,2074.01
866.265,2073.99
866.927,2073.99
867.59,2073.98
868.253,2073.96
868.915,2073.95
869.578,2073.93
870.24,2073.93
870.903,2073.92
871.565,2073.91
872.228,2073.9
872.891,2073.9
873.553,2073.88
874.216,2073.87
874.878,2073.86
875.541,2073.85
876.204,2073.85
876.866,2073.86
877.529,2073.84
878.191,2073.82
878.854,2073.81
879.516,2073.79
880.179,2073.78
