x (mm),Q (W/m2)
327.582,1.00E+05
328.245,1.00E+05
328.907,1.00E+05
329.57,1.00E+05
330.233,1.00E+05
330.895,1.00E+05
331.558,1.00E+05
332.22,1.00E+05
332.883,1.00E+05
333.545,1.00E+05
334.208,1.00E+05
334.871,1.00E+05
335.533,1.00E+05
336.196,1.00E+05
336.858,1.00E+05
337.521,9.99E+04
338.184,9.99E+04
338.846,9.99E+04
339.509,9.98E+04
340.171,9.98E+04
340.834,9.98E+04
341.496,9.97E+04
342.159,9.97E+04
342.822,9.97E+04
343.484,9.96E+04
344.147,9.96E+04
344.809,9.96E+04
345.472,9.95E+04
346.135,9.95E+04
346.797,9.95E+04
347.46,9.95E+04
348.122,9.94E+04
348.785,9.94E+04
349.448,9.94E+04
350.11,9.93E+04
350.773,9.93E+04
351.435,9.93E+04
352.098,9.92E+04
352.76,9.92E+04
353.423,9.92E+04
354.086,9.92E+04
354.748,9.91E+04
355.411,9.91E+04
356.073,9.91E+04
356.736,9.90E+04
357.399,9.90E+04
358.061,9.90E+04
358.724,9.89E+04
359.386,9.89E+04
360.049,9.89E+04
360.711,9.89E+04
361.374,9.88E+04
362.037,9.88E+04
362.699,9.88E+04
363.362,9.87E+04
364.024,9.87E+04
364.687,9.87E+04
365.35,9.87E+04
366.012,9.86E+04
366.675,9.86E+04
367.337,9.86E+04
368,9.85E+04
368.663,9.85E+04
369.325,9.85E+04
369.988,9.85E+04
370.65,9.84E+04
371.313,9.84E+04
371.975,9.84E+04
372.638,9.83E+04
373.301,9.83E+04
373.963,9.83E+04
374.626,9.83E+04
375.288,9.82E+04
375.951,9.82E+04
376.614,9.82E+04
377.276,9.81E+04
377.939,9.81E+04
378.601,9.81E+04
379.264,9.81E+04
379.926,9.80E+04
380.589,9.80E+04
381.252,9.80E+04
381.914,9.80E+04
382.577,9.79E+04
383.239,9.79E+04
383.902,9.79E+04
384.565,9.78E+04
385.227,9.78E+04
385.89,9.78E+04
386.552,9.78E+04
387.215,9.77E+04
387.878,9.77E+04
388.54,9.77E+04
389.203,9.77E+04
389.865,9.76E+04
390.528,9.76E+04
391.19,9.76E+04
391.853,9.76E+04
392.516,9.75E+04
393.178,9.75E+04
393.841,9.75E+04
394.503,9.74E+04
395.166,9.74E+04
395.829,9.74E+04
